# nbin   dens denslog err area NGC median rgal binsize
0 0.00120891839482 -2.91760301417 -3.5056486437 12407.7853925 15.0 41.0718242167 65.1121537577 24.040329541 0.000312141387338
1 0.00143734522905 -2.84243890823 -3.44449889956 11131.6332893 16.0 76.6664540376 88.2207543174 11.5543002799 0.000359336307263
2 0.000794328129095 -3.10000005775 -3.70206004908 20142.8092673 16.0 103.68083296 119.140911603 15.4600786429 0.000198582032274
3 0.00102273546427 -2.99023668424 -3.59229667557 15644.3191411 16.0 128.806100998 138.471290392 9.66518939451 0.000255683866067
4 0.000625228974868 -3.20396090376 -3.80602089509 25590.6246242 16.0 151.879530442 165.287770492 13.4082400501 0.000156307243717
5 0.000603730039115 -3.21915721491 -3.80720284444 24845.541928 15.0 176.490340557 187.692910622 11.2025700646 0.000155882425806
6 0.000461972338587 -3.33538402782 -3.93744401915 34634.1082865 16.0 201.379017547 215.065124473 13.6861069254 0.000115493084647
7 0.000402897823903 -3.39480507828 -3.99686506961 39712.3018561 16.0 228.872813234 242.680501995 13.807688761 0.000100724455976
8 0.000122300089266 -3.91257322597 -4.5146332173 130825.742614 16.0 279.878064538 317.075627082 37.1975625439 3.05750223165e-05
9 3.81126882986e-05 -4.41893041696 -5.00697604648 393569.71837 15.0 396.13731141 475.198995737 79.0616843273 9.84065380398e-06
