 02 08 25.60  10 59 58.4    1859    22  28.0   
 02 08 26.10  11 01 48.0    1637    21  29.1   
 02 08 26.10  11 00 26.7    1725    21  29.2   
 02 08 26.10  10 59 37.8    1761    21  28.4   
 02 08 26.10  10 59 36.1    1615    21  28.3   
 02 08 26.20  10 59 50.1    1652    21  28.9   
 02 08 26.20  11 00 54.6    1854    22  29.3   
 02 08 26.30  11 03 48.6    1593    21  28.8   
 02 08 26.30  11 00 31.7    1625    21  29.0   
 02 08 26.80  11 01 55.8    1667    21  29.1   
 02 08 27.10  11 00 43.9    1622    22  28.8   
 02 08 27.70  10 58 40.2    1788    21  28.4   
 02 08 28.20  10 59 24.8    1545    21  28.5   
 02 08 28.30  11 00 57.2    1660    21  28.6   
 02 08 28.70  10 59 57.7    1641    20  29.6   
 02 08 28.80  11 01 36.2    1859    21  28.2   
 02 08 29.20  11 03 38.8    1702    21  28.2   
 02 08 29.30  11 04 05.2    1693    21  28.5   
 02 08 30.00  10 58 30.4    1709    22  28.2   
 02 08 30.20  11 02 21.6    1712    21  28.3   
 02 08 30.90  11 01 10.3    1773    21  28.5   
 02 08 32.40  11 01 39.1    1864    21  28.8   
 02 08 32.40  10 59 50.0    1646    20  28.6   
 02 08 32.50  10 57 49.4    1784    21  29.5   

