# RA         DEC       CaT  CaTerr Ecat Z/H   Zerr Ezh  col7 col8 col9
  137.799713 60.014626 7.34 0.35   0.66 -0.37 0.16 0.3  1.0  0.59 0.0 
  137.760773 60.001068 3.23 0.23   0.65 -2.27 0.11 0.3  1.0  0.58 0.0 
  137.914429 60.029758 7.03 0.53   0.72 -0.51 0.24 0.33 0.79 0.61 0.0 
  137.912109 59.98711  6.19 0.53   0.59 -0.9  0.24 0.27 1.0  0.35 0.0 
  137.903214 60.071148 7.82 0.35   0.3  -0.15 0.16 0.14 1.0  0.64 0.0 
  137.96257  60.048748 6.26 0.38   0.58 -0.87 0.17 0.27 0.53 0.57 0.0 
  137.782913 60.02758  5.21 0.28   0.99 -1.35 0.13 0.46 0.99 0.49 0.0 
  137.846771 60.040207 5.48 0.2    0.25 -1.23 0.09 0.12 0.07 0.44 0.0 
  137.774551 59.997803 7.62 0.7    0.82 -0.24 0.32 0.38 1.0  0.61 0.0 
  137.845154 60.024818 6.39 0.32   1.14 -0.81 0.15 0.53 0.99 0.4  0.0 
  138.030396 59.96032  5.03 0.33   0.63 -1.43 0.15 0.29 1.0  0.54 0.0 
  137.989395 59.966564 6.34 1.01   0.71 -0.83 0.46 0.33 1.0  0.42 0.0 
  137.955215 60.025349 3.88 0.34   0.63 -1.96 0.16 0.29 0.87 0.44 0.0 
  137.88855  60.059868 6.6  0.55   1.14 -0.71 0.25 0.53 0.96 0.63 0.0 
  137.797775 60.09267  8.7  0.84   0.69 0.26  0.39 0.32 1.0  0.64 0.0 
  137.711288 60.075844 6.54 0.36   0.46 -0.74 0.17 0.21 1.0  0.61 0.0 
  137.908722 60.01421  8.06 1.17   1.15 -0.04 0.54 0.53 1.0  0.5  5.0 
  137.899704 60.018906 7.29 0.5    0.67 -0.39 0.23 0.31 0.9  0.73 5.0 
  137.971573 60.059212 7.35 0.55   0.66 -0.36 0.25 0.3  1.0  0.65 0.0 
  137.6008   60.031094 3.42 0.27   0.72 -2.17 0.12 0.33 1.0  0.52 0.0 
  137.857819 60.054653 5.33 0.74   1.28 -1.29 0.34 0.59 0.91 0.28 0.0 
  137.829514 60.033058 8.95 0.78   0.78 0.37  0.36 0.36 0.51 0.69 0.0 
  137.905884 60.025791 5.71 0.28   1.13 -1.12 0.13 0.52 0.83 0.69 0.0 
  137.830292 60.051231 8.18 0.73   0.72 0.02  0.34 0.33 1.0  0.54 0.0 
  137.852386 59.999001 8.44 0.83   1.08 0.14  0.38 0.5  1.0  0.69 0.0 
  138.043991 60.027718 6.25 0.32   1.17 -0.87 0.15 0.54 1.0  0.37 0.0 
  138.011261 59.992039 5.08 0.36   0.98 -1.41 0.17 0.45 0.99 0.73 0.0 
  137.991348 60.031799 5.58 0.39   0.8  -1.18 0.18 0.37 0.9  0.38 0.0 
  137.985214 60.04689  3.94 0.39   0.89 -1.93 0.18 0.41 0.96 0.74 0.0 
  137.847321 60.066353 4.04 0.52   1.14 -1.89 0.24 0.52 0.82 0.45 0.0 
  137.95224  60.034798 9.76 1.09   0.49 0.75  0.5  0.22 0.57 0.68 0.0 
  137.943756 60.031239 6.17 0.51   0.55 -0.91 0.23 0.26 0.05 0.62 0.0 
  137.937012 60.038727 5.25 0.39   1.17 -1.33 0.18 0.54 0.46 0.61 0.0 
  137.821106 60.054134 7.07 0.35   1.4  -0.49 0.16 0.65 0.31 0.65 0.0 
  137.809631 60.038582 9.68 0.76   0.54 0.71  0.35 0.25 0.26 0.94 0.0 
  137.796921 60.033665 8.7  0.85   0.78 0.25  0.39 0.36 1.0  0.6  0.0 
  137.757568 60.010731 3.28 0.28   1.29 -2.24 0.13 0.6  1.0  0.36 0.0 
  137.784927 60.048725 4.75 0.29   0.34 -1.56 0.14 0.15 1.0  0.4  0.0 
  137.793091 60.031418 8.07 0.33   0.38 -0.03 0.15 0.18 1.0  0.61 0.0 
  137.911255 60.049278 3.35 0.26   1.02 -2.21 0.12 0.47 0.81 0.78 0.0 
  137.885956 60.053192 5.99 0.51   1.2  -0.99 0.23 0.55 0.69 0.5  5.0 
  137.888657 60.021732 5.63 0.56   1.25 -1.16 0.26 0.58 0.82 0.36 0.0 
  137.876434 60.019745 6.37 0.61   0.46 -0.82 0.28 0.21 0.95 0.59 0.0 
  137.698425 60.049858 5.91 0.49   1.18 -1.03 0.22 0.55 1.0  0.47 0.0 
  137.868179 59.991615 7.94 1.15   0.92 -0.09 0.53 0.43 1.0  0.57 0.0 
  137.845947 59.996357 4.59 0.44   0.9  -1.64 0.2  0.41 1.0  0.63 0.0 
  137.902313 60.030399 4.35 0.54   1.21 -1.75 0.25 0.56 0.44 0.57 0.0 
  137.988098 60.043217 5.85 0.38   0.58 -1.05 0.18 0.27 1.0  0.67 0.0 
  137.892975 60.031815 7.53 0.49   0.37 -0.28 0.23 0.17 0.6  0.92 0.0 
