#from Haliday+2006

85	00 40 26.25	+41 20 27.6	-344.8 	6.0	26.29
86	00 40 28.81	+41 33 00.6	-320.9 	6.0	30.50
87	00 40 30.08	+41 01 20.2	-460.9 	6.0	29.29
88	00 40 30.81	+40 36 53.9	-487.2 	6.0	46.64
89	00 40 30.82	+40 42 30.1	-574.9 	6.0	42.03
90	00 40 30.89	+40 45 46.9	-552.1 	6.0	39.44
91	00 40 32.24	+41 39 02.8	-241.8 	6.0	33.72
92	00 40 33.28	+40 55 58.6	-386.4 	6.0	31.88
93	00 40 33.75	+40 32 46.0	-519.8 	6.0	49.90
94	00 40 33.87	+41 08 34.8	-582.7 	6.0	25.68
95	00 40 35.18	+40 50 07.3	-523.6 	4.2	35.63
96	00 40 35.48	+40 45 16.8	-492.5 	6.0	39.28
97	00 40 36.33	+41 42 02.5	-254.8 	6.0	35.29
98	00 40 39.02	+41 14 38.9	-345.2	13.5	23.60
99	00 40 39.91	+40 43 37.1	-444.0 	6.0	40.11
100	00 40 40.63	+41 39 05.7	-233.3 	6.0	32.62
101	00 40 41.29	+41 45 17.1	-233.1 	8.2	37.14
102	00 40 41.52	+40 55 34.6	-543.3 	6.0	30.95
103	00 40 42.67	+41 29 38.7	-265.8 	8.2	26.52
104	00 40 43.41	+40 52 08.1	-592.3 	6.0	33.10
105	00 40 43.74	+41 18 40.4	-376.7 	6.0	22.79
106	00 40 43.93	+41 22 10.9	-299.6 	6.0	23.40
107	00 40 44.36	+40 59 37.0	-468.2 	6.0	27.99
108	00 40 44.38	+40 40 30.8	-518.4 	6.0	42.21
109	00 40 45.66	+40 49 13.5	-591.4 	6.0	35.00
110	00 40 46.18	+40 47 50.1	-558.9 	6.0	36.02
111	00 40 48.08	+41 02 02.0	-415.2 	6.0	26.04
112	00 40 48.42	+40 43 33.2	-548.0 	6.0	39.25
113	00 40 49.11	+41 10 48.4	-423.4 	6.0	22.31
114	00 40 49.56	+40 39 46.5	-414.0 	6.0	42.33
115	00 40 50.45	+41 23 35.0	-322.3 	6.0	22.64
116	00 40 50.63	+40 54 56.8	-449.6 	6.0	30.13
117	00 40 53.30	+41 16 37.9	-288.4 	6.0	20.87
118	00 40 54.01	+40 46 39.9	-483.4 	6.0	36.08
119	00 40 54.38	+40 48 10.6	-564.0 	6.0	34.81
120	00 40 54.66	+41 48 15.8	-357.3 	6.0	38.12
121	00 40 55.91	+41 03 08.5	-350.3 	6.0	24.19
122	00 40 57.24	+40 36 07.4	-508.1 	6.0	44.84
123	00 40 57.41	+41 01 02.8	-470.1 	6.0	25.16
124	00 40 57.58	+41 00 01.8	-270.6 	6.0	25.76
125	00 40 58.49	+41 09 06.9	-346.1 	6.0	21.11
126	00 40 58.75	+41 29 32.5	-286.7 	6.0	23.91
127	00 41 03.09	+41 11 57.8	-468.5 	6.0	19.49
128	00 41 03.40	+40 55 53.6	-547.8 	6.0	27.78
129	00 41 03.73	+40 41 13.5	-564.0 	6.0	39.74
130	00 41 03.79	+40 48 50.4	-353.3 	6.0	33.24
131	00 41 05.73	+40 48 11.1	-281.8 	6.0	33.57
132	00 41 09.20	+41 03 43.3	-536.8 	4.2	21.79
133	00 41 09.82	+41 20 45.6	-274.5 	6.0	18.34
134	00 41 10.18	+40 51 44.1	-473.8 	6.0	30.18
135	00 41 11.62	+40 34 14.5	-472.2	11.6	45.41
136	00 41 11.85	+40 43 24.8	-516.0 	6.0	37.09
137	00 41 12.39	+40 35 58.0	-531.5 	6.0	43.77
138	00 41 13.50	+40 42 15.6	-537.9 	6.0	37.97
139	00 41 13.66	+40 45 47.9	-545.7 	6.0	34.83
140	00 41 15.07	+41 07 26.8	-345.0 	6.0	18.91
141	00 41 15.72	+41 27 19.8	-321.9 	6.0	20.04
142	00 41 16.91	+41 12 11.6	-262.2 	6.0	16.90
143	00 41 17.65	+41 18 45.4	-400.9 	8.2	16.49
144	00 41 18.69	+40 37 42.6	-526.3 	6.0	41.69
145	00 41 19.08	+40 53 41.8	-494.7 	6.0	27.60
146	00 41 19.34	+40 52 20.5	-417.5 	6.0	28.69
147	00 41 19.78	+41 41 09.8	-358.4 	6.0	29.61
148	00 41 19.91	+40 44 57.9	-442.6 	6.0	35.01
149	00 41 23.13	+41 04 12.5	-350.5 	8.2	19.39
150	00 41 23.32	+40 50 51.9	-551.1 	6.0	29.53
151	00 41 23.43	+41 14 28.0	-402.2 	6.0	15.30
152	00 41 25.26	+40 56 02.2	-547.4 	6.0	25.02
153	00 41 25.39	+41 28 22.2	-293.5 	6.0	19.20
154	00 41 26.47	+40 32 45.0	-283.3 	8.2	45.82
155	00 41 26.87	+40 43 15.8	-392.9 	6.0	35.98
156	00 41 27.01	+40 58 06.3	-426.9 	6.0	23.18
157	00 41 28.19	+41 02 30.3	-570.1 	8.2	19.78
158	00 41 28.81	+41 26 47.7	-274.3 	6.0	17.73
159	00 41 29.41	+41 06 38.5	-247.4 	8.2	17.00
160	00 41 31.09	+41 09 36.0	-424.4 	6.0	15.25
161	00 41 31.17	+41 01 11.0	-443.1 	6.0	20.33
162	00 41 32.24	+41 00 11.9	-536.5 	6.0	20.94
