# col1     col2    col3    col4    col5   col6 col7 col8 col9 col10 col11
  151.3399 -7.6772 185.16  -24.47  887.0  0.5  0.03 1.31 0.0  1.0   64.0 
  151.3595 -7.7315 95.28   162.45  592.0  0.67 0.79 0.78 0.0  3.0   65.0 
  151.3231 -7.7312 4.83    69.2    782.0  0.34 0.33 0.87 0.0  1.0   66.0 
  151.3406 -7.658  236.11  -71.32  773.0  0.56 0.56 0.67 0.0  2.0   67.0 
  151.2387 -7.7484 -250.69 -101.61 601.0  0.63 0.8  0.83 0.0  2.0   68.0 
  151.2897 -7.8129 -288.37 190.85  658.0  0.91 1.0  0.75 0.0  4.0   69.0 
  151.2679 -7.7627 -214.24 8.67    471.0  0.54 0.07 1.19 0.0  1.0   70.0 
  151.2895 -7.7461 -117.45 21.7    471.0  0.49 0.06 0.77 0.0  1.0   71.0 
  151.264  -7.7752 -256.13 30.63   396.0  0.58 0.01 0.83 0.0  2.0   72.0 
  151.2808 -7.7281 -93.24  -45.96  597.0  0.41 0.37 1.14 0.0  1.0   73.0 
  151.3234 -7.6867 119.56  -42.55  856.0  0.43 0.06 0.98 0.0  1.0   74.0 
  151.3457 -7.6672 225.44  -34.9   869.0  0.54 0.05 0.74 0.0  1.0   75.0 
  151.3691 -7.7157 159.6   147.1   636.0  0.66 0.81 1.07 0.0  3.0   76.0 
  151.3441 -7.7098 112.14  68.39   1192.0 0.39 0.04 0.97 5.0  1.0   77.0 
  151.3397 -7.6944 140.59  18.49   706.0  0.5  0.92 0.94 0.0  1.0   78.0 
  151.3404 -7.6926 147.1   15.72   579.0  0.51 1.0  0.74 0.0  1.0   79.0 
  151.2828 -7.7315 -97.16  -32.33  803.0  0.46 1.0  0.8  5.0  1.0   80.0 
  151.3361 -7.6242 311.69  -168.04 983.0  0.89 0.02 0.75 5.0  4.0   81.0 
  151.3085 -7.7389 -51.77  51.7    601.0  0.37 0.29 1.05 0.0  1.0   82.0 
  151.3106 -7.7047 41.29   -29.34  586.0  0.5  0.88 1.13 0.0  1.0   83.0 
  151.2976 -7.7335 -65.17  10.29   628.0  0.62 0.95 0.98 0.0  1.0   84.0 
  151.367  -7.7907 -37.69  331.19  593.0  1.0  0.99 0.86 0.0  4.0   85.0 
  151.3628 -7.6747 249.05  27.33   899.0  0.57 0.02 0.98 0.0  2.0   86.0 
  151.3225 -7.6256 273.93  -198.93 773.0  0.92 0.89 1.11 0.0  4.0   87.0 
  151.3305 -7.7388 3.7     107.2   580.0  0.4  0.43 0.79 0.0  2.0   88.0 
  151.333  -7.6832 152.47  -26.79  603.0  0.48 1.0  1.04 0.0  1.0   89.0 
  151.3232 -7.6909 108.45  -32.27  539.0  0.45 1.0  0.76 0.0  1.0   90.0 
  151.2612 -7.7811 -278.23 38.33   637.0  0.62 0.99 0.75 0.0  2.0   91.0 
  151.3183 -7.7058 57.94   -7.02   959.0  0.68 0.02 1.1  5.0  1.0   92.0 
  151.2869 -7.6802 44.83   -151.4  825.0  0.59 0.43 1.14 0.0  3.0   93.0 
  151.3732 -7.669  289.71  39.39   703.0  0.64 0.98 0.98 0.0  2.0   94.0 
  151.3376 -7.8111 -163.92 308.16  482.0  0.99 0.99 1.01 5.0  4.0   95.0 
  151.2798 -7.7193 -73.24  -70.88  885.0  0.36 0.96 0.81 5.0  1.0   96.0 
  151.3262 -7.7162 50.96   39.18   407.0  0.42 1.0  0.77 5.0  1.0   97.0 
  151.2869 -7.7604 -161.0  51.21   837.0  0.45 1.0  1.15 5.0  1.0   98.0 
  151.3381 -7.7147 84.64   65.78   980.0  0.37 0.05 0.8  5.0  1.0   99.0 
  151.2719 -7.725  -107.7  -76.5   562.0  0.39 0.22 0.76 0.0  1.0   100.0
  151.2994 -7.7802 -180.28 132.91  467.0  0.63 0.15 0.84 0.0  3.0   101.0
  151.3309 -7.6985 108.21  6.56    949.0  0.55 0.01 0.82 0.0  1.0   102.0
  151.2929 -7.7575 -138.11 59.1    441.0  0.42 0.05 0.84 0.0  1.0   103.0
  151.2802 -7.679  31.18   -171.56 627.0  0.69 0.72 1.02 0.0  3.0   104.0
  151.3107 -7.6541 171.33  -157.13 614.0  0.72 0.88 1.0  0.0  3.0   105.0
  151.2976 -7.7498 -106.95 51.51   426.0  0.4  0.04 0.88 0.0  1.0   106.0
  151.2996 -7.7588 -124.92 79.21   582.0  0.41 0.29 1.15 0.0  1.0   107.0
  151.29   -7.7002 1.33    -93.29  697.0  0.36 0.34 1.09 0.0  1.0   108.0
  151.3184 -7.7341 -14.37  64.6    844.0  0.34 0.52 0.75 5.0  1.0   109.0
  151.1804 -7.7129 -305.76 -339.29 663.0  0.5  0.97 1.09 0.0  4.0   110.0
  151.3453 -7.685  178.87  8.91    809.0  0.52 0.21 0.8  0.0  1.0   111.0
  151.2836 -7.7046 -25.96  -98.37  798.0  0.38 0.35 1.15 0.0  2.0   112.0
  151.3039 -7.7458 -80.79  57.22   428.0  0.37 0.07 1.15 0.0  1.0   113.0
  151.4061 -7.6647 383.15  112.17  808.0  0.85 0.44 0.76 0.0  3.0   114.0
  151.3134 -7.7335 -25.28  50.49   841.0  0.37 0.71 0.99 5.0  1.0   115.0
  151.3276 -7.6749 160.44  -61.57  573.0  0.44 0.99 1.09 0.0  1.0   116.0
  151.336  -7.6908 140.68  -0.17   910.0  0.52 0.02 1.09 0.0  1.0   117.0
  151.2203 -7.7438 -284.93 -159.99 503.0  0.84 0.4  1.02 0.0  4.0   118.0
