#ID 	 RA 	 DEC 	 RV 	 RV_err 	 RAD 
NGC4649_S112 	190.932462	11.587275	 648	11	2.27
NGC4649_S113 	190.891724	11.600504	1494	 9	3.22
NGC4649_S114 	190.917103	11.592138	 762	11	2.37
NGC4649_S115 	190.902201	11.584112	1433	16	2.06
NGC4649_S116 	190.929196	11.621098	1000	16	4.17
NGC4649_S117 	190.933412	11.592482	1070	17	2.58
NGC4649_S118 	190.931122	11.586067	1048	110	2.18
NGC4649_S119 	190.924164	11.608236	 871	11	3.36
NGC4649_S120 	190.926099	11.573786	1425	 9	1.38
NGC4649_S121 	190.913051	11.609108	 882	13	3.39
NGC4649_S122 	190.927073	11.625386	 999	18	4.40
NGC4649_S123 	190.930299	11.599826	1381	 9	2.94
NGC4649_S124 	190.923519	11.585082	1191	15	1.99
NGC4649_S125 	190.894246	11.602852	1508	 7	3.28
NGC4649_S126 	190.916334	11.576334	1048	16	1.42
NGC4649_S127 	190.925658	11.572939	1327	14	1.33
NGC4649_S128 	190.932446	11.578073	 786	41	1.79
NGC4649_S129 	190.933142	11.580597	1209	11	1.94
NGC4649_S130 	190.925038	11.582249	 984	 7	1.84
NGC4649_S131 	190.936884	11.591388	1016	12	2.61
NGC4649_S132 	190.916373	11.626780	1312	16	4.44
NGC4649_S133 	190.895139	11.592606	 801	13	2.71
NGC4649_S134 	190.896571	11.602604	1477	 6	3.22
NGC4649_S135 	190.999470	11.576976	 891	13	5.09
NGC4649_S136 	190.937603	11.244088	1027	50	18.56
NGC4649_S137 	190.567919	11.657965	 981	35	21.45
NGC4649_S138 	190.616989	11.693559	1417	28	19.53
NGC4649_S139 	190.882461	11.537553	1236	22	2.20
NGC4649_S140 	190.880918	11.501524	1541	13	3.72
NGC4649_S141 	190.863119	11.494442	1200	16	4.70
NGC4649_S142 	190.876828	11.528751	 714	67	2.74
NGC4649_S143 	190.888974	11.515714	1772	12	2.75
NGC4649_S144 	190.873014	11.492471	1293	11	4.43
NGC4649_S145 	190.893571	11.488415	1174	26	4.09
NGC4649_S146 	190.873724	11.497264	1291	 8	4.17
NGC4649_S147 	190.889054	11.505642	 948	 6	3.25
NGC4649_S148 	190.900264	11.522176	1017	 6	2.07
NGC4649_S149 	190.874997	11.524772	1091	28	2.96
NGC4649_S150 	190.916690	11.533011	 979	 8	1.18
NGC4649_S151 	190.875923	11.533314	 933	 6	2.66
NGC4649_S152 	190.872817	11.500404	1150	10	4.06
NGC4649_S153 	190.911563	11.490214	1174	 5	3.76
NGC4649_S154 	190.894771	11.525080	1323	 7	2.09
NGC4649_S155 	190.904165	11.510798	1086	15	2.62
NGC4649_S156 	190.905269	11.521342	1160	 7	2.00
NGC4649_S157 	190.888132	11.502481	 978	 8	3.45
NGC4649_S158 	190.900524	11.503067	1164	 5	3.12
NGC4649_S159 	190.885548	11.509034	 939	10	3.19
NGC4649_S160 	190.897073	11.523806	1194	18	2.08
NGC4649_S161 	190.905429	11.500656	1331	17	3.19
NGC4649_S162 	190.909617	11.536153	1302	10	1.07
NGC4649_S163 	190.894020	11.541070	1478	17	1.50
NGC4649_S164 	190.878539	11.514616	1265	13	3.20
NGC4649_S165 	190.910507	11.481268	1068	 8	4.30
NGC4649_S166 	190.891427	11.517326	1318	 8	2.59
NGC4649_S167 	190.903349	11.482846	1077	 7	4.26
NGC4649_S168 	190.918588	11.526058	1114	13	1.60
NGC4649_S169 	190.901940	11.498321	1120	24	3.37
NGC4649_S170 	190.902652	11.505414	1490	 7	2.95
NGC4649_S171 	190.884515	11.499210	 599	12	3.72
NGC4649_S172 	190.915322	11.502656	 960	 8	3.00
NGC4649_S173 	190.918411	11.519521	1150	27	1.99
NGC4649_S174 	190.912675	11.527524	1042	44	1.53
NGC4649_S175 	190.902542	11.511701	1502	 8	2.59
NGC4649_S176 	190.910439	11.507645	1005	 9	2.73
NGC4649_S177 	190.905873	11.536985	1202	18	1.13
NGC4649_S178 	190.920575	11.526212	 977	22	1.61
NGC4649_S179 	190.914518	11.530622	1485	20	1.33
NGC4649_S180 	190.873927	11.509989	1142	14	3.58
NGC4649_S181 	190.867439	11.563184	 841	 5	2.96
NGC4649_S182 	190.821115	11.543867	1181	14	5.64
NGC4649_S183 	190.870548	11.569695	1348	18	2.89
NGC4649_S184 	190.871242	11.547231	1285	24	2.68
NGC4649_S185 	190.878644	11.570993	 818	 6	2.48
NGC4649_S186 	190.845696	11.553962	1675	18	4.17
NGC4649_S187 	190.874845	11.547904	1209	19	2.47
NGC4649_S188 	190.857310	11.555255	1347	17	3.49
NGC4649_S189 	190.836408	11.577801	1197	 7	4.95
NGC4649_S190 	190.874522	11.555089	1130	 7	2.48
NGC4649_S191 	190.878452	11.558603	 971	 9	2.27
NGC4649_S192 	190.883222	11.563824	 993	 6	2.07
NGC4649_S193 	190.878966	11.561461	 892	10	2.27
NGC4649_S194 	190.854106	11.579012	 893	 6	4.00
NGC4649_S195 	190.853808	11.540789	1323	 9	3.76
NGC4649_S196 	190.839524	11.573301	1358	 8	4.69
NGC4649_S197 	190.847521	11.546213	1393	32	4.08
NGC4649_S198 	190.854720	11.562113	1200	13	3.68
NGC4649_S199 	190.890296	11.566226	 724	31	1.74
NGC4649_S200 	190.867689	11.544004	1330	27	2.92
NGC4649_S201 	190.826429	11.553471	1537	18	5.30
NGC4649_S202 	190.831492	11.530047	1228	21	5.18
NGC4649_S203 	190.835794	11.557513	1503	13	4.76
NGC4649_S204 	190.861830	11.571652	1393	10	3.41
NGC4649_S205 	190.861844	11.523624	1521	46	3.66
NGC4649_S206 	190.849492	11.570089	1088	18	4.08
NGC4649_S207 	190.858854	11.551629	1354	18	3.39
NGC4649_S208 	190.864444	11.561433	1051	16	3.11
NGC4649_S209 	190.867012	11.541612	1317	35	2.99
NGC4649_S210 	190.885300	11.563366	1515	27	1.95
NGC4649_S211 	190.827631	11.560081	1401	12	5.25
NGC4649_S212 	190.908135	11.554619	1346	10	0.51
NGC4649_S213 	190.908247	11.555142	1083	22	0.51
NGC4649_S214 	190.911308	11.545940	 927	46	0.51
NGC4649_S215 	190.923321	11.558147	1265	26	0.51
NGC4649_S216 	190.925240	11.550037	 941	 8	0.53
NGC4649_S217 	190.924935	11.549130	1128	27	0.54
NGC4649_S218 	190.912073	11.544764	1337	40	0.54
NGC4649_S219 	190.915230	11.555139	1303	13	0.17
NGC4649_S220 	190.922995	11.544826	 970	10	0.61
NGC4649_S221 	190.910652	11.544330	 923	39	0.61
NGC4649_S222 	190.923368	11.560789	1179	10	0.63
NGC4649_S223 	190.923122	11.544386	1451	44	0.63
NGC4649_S224 	190.912840	11.542577	 979	18	0.65
NGC4649_S225 	190.919218	11.563266	1579	63	0.65
NGC4649_S226 	190.926066	11.558308	 625	 6	0.65
NGC4649_S227 	190.905011	11.551653	 703	47	0.68
NGC4649_S228 	190.911740	11.563010	1297	11	0.68
NGC4649_S229 	190.909375	11.561721	 742	37	0.69
NGC4649_S230 	190.906506	11.546010	 875	28	0.71
NGC4649_S231 	190.926953	11.559918	 914	30	0.75
NGC4649_S232 	190.929176	11.554596	 909	19	0.75
NGC4649_S233 	190.916070	11.539548	1330	19	0.79
NGC4649_S234 	190.911694	11.565295	1086	 6	0.81
NGC4649_S235 	190.915476	11.539077	 992	 6	0.82
NGC4649_S236 	190.930232	11.557021	 785	28	0.84
NGC4649_S237 	190.905955	11.563472	1494	19	0.90
NGC4649_S238 	190.903850	11.544230	1697	29	0.90
NGC4649_S239 	190.930381	11.545569	1100	18	0.92
NGC4649_S240 	190.924660	11.539005	1016	 4	0.95
NGC4649_S241 	190.923765	11.538516	1150	24	0.95
NGC4649_S242 	190.904672	11.540940	1451	22	0.99
NGC4649_S243 	190.900323	11.547675	1296	16	1.00
NGC4649_S244 	190.903102	11.563460	1162	16	1.02
NGC4649_S245 	190.920876	11.535967	 925	 5	1.04
NGC4649_S246 	190.929361	11.540827	 771	20	1.04
NGC4649_S247 	190.921309	11.535218	1050	18	1.09
NGC4649_S248 	190.898015	11.553110	1573	 6	1.09
NGC4649_S249 	190.919379	11.548735	1080	18	0.29
NGC4649_S250 	190.929361	11.538942	1166	 7	1.12
NGC4649_S251 	190.912137	11.570944	1166	 9	1.12
NGC4649_S252 	190.906963	11.568996	 909	17	1.13
