# i     RA           DEC         V        g        z       
  120   190.925658   11.572939   1327.0   23.424   21.846  
  121   190.932446   11.578073   786.0    22.659   21.834  
  122   190.933142   11.580597   1209.0   22.656   21.525  
  123   190.936884   11.591388   1016.0   23.408   21.928  
  124   190.916373   11.62678    1312.0   22.8     21.966  
  125   190.895139   11.592606   801.0    23.346   21.969  
  126   190.896571   11.602604   1477.0   21.436   20.272  
  127   190.882461   11.537553   1236.0   22.816   21.585  
  128   190.880918   11.501524   1541.0   22.511   21.525  
  129   190.863119   11.494442   1200.0   22.639   21.613  
  130   190.876828   11.528751   714.0    22.653   21.786  
  131   190.888974   11.515714   1772.0   22.503   21.566  
  132   190.873014   11.492471   1293.0   22.911   21.849  
  133   190.893571   11.488415   1174.0   23.033   21.895  
  134   190.873724   11.497264   1291.0   21.011   19.801  
  135   190.889054   11.505642   948.0    20.895   19.807  
  136   190.900264   11.522176   1017.0   21.232   19.864  
  137   190.874997   11.524772   1091.0   21.341   19.905  
  138   190.91669    11.533011   979.0    21.374   20.092  
  139   190.875923   11.533314   933.0    21.767   20.158  
  140   190.872817   11.500404   1150.0   21.502   20.193  
  141   190.911563   11.490214   1174.0   21.242   20.29   
  142   190.894771   11.52508    1323.0   21.23    20.272  
  143   190.904165   11.510798   1086.0   21.267   20.271  
  144   190.905269   11.521342   1160.0   21.3     20.352  
  145   190.888132   11.502481   978.0    21.417   20.359  
  146   190.900524   11.503067   1164.0   21.434   20.417  
  147   190.885548   11.509034   939.0    21.608   20.447  
  148   190.897073   11.523806   1194.0   21.57    20.472  
  149   190.905429   11.500656   1331.0   21.398   20.448  
  150   190.909617   11.536153   1302.0   21.975   20.65   
  151   190.89402    11.54107    1478.0   21.642   20.683  
  152   190.878539   11.514616   1265.0   22.336   20.766  
  153   190.910507   11.481268   1068.0   22.239   20.805  
  154   190.891427   11.517326   1318.0   21.768   20.85   
  155   190.903349   11.482846   1077.0   21.781   20.891  
  156   190.918588   11.526058   1114.0   21.921   20.971  
  157   190.90194    11.498321   1120.0   21.869   20.961  
  158   190.902652   11.505414   1490.0   21.85    20.982  
  159   190.884515   11.49921    599.0    21.892   21.038  
  160   190.915322   11.502656   960.0    22.196   21.093  
  161   190.918411   11.519521   1150.0   22.042   21.107  
  162   190.912675   11.527524   1042.0   22.105   21.167  
  163   190.902542   11.511701   1502.0   22.147   21.151  
  164   190.905873   11.536985   1202.0   22.595   21.07   
  165   190.920575   11.526212   977.0    22.5     21.277  
  166   190.914518   11.530622   1485.0   22.728   21.417  
  167   190.873927   11.509989   1142.0   22.478   21.456  
  168   190.867439   11.563184   841.0    21.392   20.48   
  169   190.821115   11.543867   1181.0   23.372   22.349  
  170   190.870548   11.569695   1348.0   23.567   22.355  
  171   190.871242   11.547231   1285.0   23.825   22.43   
  172   190.878644   11.570993   818.0    21.739   20.506  
  173   190.845696   11.553962   1675.0   23.84    22.465  
  174   190.874845   11.547904   1209.0   21.86    20.844  
  175   190.85731    11.555255   1347.0   24.293   22.929  
  176   190.836408   11.577801   1197.0   22.568   21.049  
  177   190.874522   11.555089   1130.0   22.486   21.092  
  178   190.878452   11.558603   971.0    22.008   20.845  
  179   190.883222   11.563824   993.0    22.768   21.163  
  180   190.878966   11.561461   892.0    22.41    21.209  
  181   190.854106   11.579012   893.0    22.423   21.257  
  182   190.853808   11.540789   1323.0   22.313   21.321  
  183   190.839524   11.573301   1358.0   22.459   21.385  
  184   190.847521   11.546213   1393.0   21.257   20.111  
  185   190.85472    11.562113   1200.0   22.473   21.468  
  186   190.890296   11.566226   724.0    22.802   21.503  
  187   190.867689   11.544004   1330.0   22.35    21.483  
  188   190.826429   11.553471   1537.0   22.73    21.522  
  189   190.831492   11.530047   1228.0   22.893   21.538  
  190   190.835794   11.557513   1503.0   22.474   21.627  
  191   190.86183    11.571652   1393.0   22.534   21.673  
  192   190.861844   11.523624   1521.0   22.742   21.695  
  193   190.849492   11.570089   1088.0   22.749   21.851  
  194   190.858854   11.551629   1354.0   23.291   21.954  
  195   190.864444   11.561433   1051.0   22.918   22.048  
  196   190.867012   11.541612   1317.0   21.681   20.369  
  197   190.827631   11.560081   1401.0   23.83    22.346  
  198   190.908135   11.554619   1346.0   23.547   22.206  
  199   190.908247   11.555142   1083.0   23.185   21.476  
  200   190.911308   11.54594    927.0    23.194   21.974  
  201   190.923321   11.558147   1265.0   22.326   20.826  
  202   190.92524    11.550037   941.0    21.896   20.611  
  203   190.924935   11.54913    1128.0   22.118   20.828  
  204   190.912073   11.544764   1337.0   21.995   20.716  
  205   190.91523    11.555139   1303.0   22.083   20.684  
  206   190.922995   11.544826   970.0    21.773   20.643  
  207   190.910652   11.54433    923.0    21.001   20.006  
  208   190.923368   11.560789   1179.0   21.654   20.373  
  209   190.923122   11.544386   1451.0   21.677   20.748  
  210   190.91284    11.542577   979.0    23.06    21.518  
  211   190.919218   11.563266   1579.0   22.929   22.005  
  212   190.926066   11.558308   625.0    21.652   20.061  
  213   190.905011   11.551653   703.0    22.406   20.868  
  214   190.91174    11.56301    1297.0   22.048   20.669  
  215   190.909375   11.561721   742.0    22.224   21.074  
  216   190.906506   11.54601    875.0    21.8     20.837  
  217   190.926953   11.559918   914.0    21.945   21.045  
  218   190.929176   11.554596   909.0    23.048   21.427  
  219   190.91607    11.539548   1330.0   22.974   21.453  
  220   190.911694   11.565295   1086.0   22.38    21.283  
  221   190.915476   11.539077   992.0    20.776   19.192  
  222   190.930232   11.557021   785.0    22.365   21.27   
  223   190.905955   11.563472   1494.0   23.628   22.29   
  224   190.90385    11.54423    1697.0   22.705   21.567  
  225   190.930381   11.545569   1100.0   22.172   20.708  
  226   190.92466    11.539005   1016.0   20.704   19.704  
  227   190.923765   11.538516   1150.0   22.519   21.078  
  228   190.904672   11.54094    1451.0   23.914   22.731  
  229   190.900323   11.547675   1296.0   23.13    21.487  
  230   190.903102   11.56346    1162.0   22.729   21.16   
  231   190.920876   11.535967   925.0    21.139   20.081  
  232   190.929361   11.540827   771.0    23.182   21.89   
  233   190.921309   11.535218   1050.0   21.905   20.835  
  234   190.898015   11.55311    1573.0   21.273   20.27   
  235   190.919379   11.548735   1080.0   21.834   20.908  
  236   190.929361   11.538942   1166.0   21.281   19.806  
  237   190.912137   11.570944   1166.0   22.031   21.004  
  238   190.906963   11.568996   909.0    22.527   21.621  
  239   190.896511   11.552206   1509.0   21.565   20.566  
  240   190.910642   11.571614   1554.0   23.024   21.409  
  241   190.911233   11.551417   833.0    21.339   20.23   
  242   190.894739   11.550781   1338.0   24.05    22.579  
  243   190.927345   11.533789   1317.0   21.176   20.149  
  244   190.912199   11.574605   1059.0   22.284   21.255  
  245   190.895413   11.561272   1387.0   21.637   20.257  
  246   190.909422   11.575511   731.0    22.653   20.993  
  247   190.899881   11.571098   989.0    22.428   21.169  
  248   190.892924   11.562687   1170.0   21.865   20.931  
  249   190.894222   11.566339   1170.0   21.389   20.37   
  250   190.895288   11.569726   1330.0   22.2     20.764  
  251   190.91038    11.550754   1399.0   23.479   22.158  
  252   190.922264   11.555807   1624.0   22.346   20.746  
  253   190.887003   11.551661   1252.0   23.339   22.309  
  254   190.912608   11.558319   1859.0   20.418   19.188  
