A81    190.9595168 +11.5480577 23.236  0.019 21.879  0.020  1.357  0.027
A82    190.9338452 +11.5602869 23.562  0.020 21.891  0.017  1.630  0.026
A83    190.9597671 +11.5463683 23.276  0.019 21.892  0.020  1.384  0.027
A84    190.9443454 +11.5475441 23.502  0.025 21.864  0.023  1.638  0.034
A85    190.9296097 +11.5621020 22.946  0.015 21.943  0.025  0.989  0.029
A86    190.9465643 +11.5700276 22.827  0.016 21.926  0.020  0.901  0.025
A88    190.9693567 +11.5663343 23.003  0.018 21.923  0.020  1.080  0.026
A89    190.9667718 +11.5796044 23.052  0.018 21.972  0.020  1.081  0.026
A90    190.9592677 +11.5569191 23.516  0.025 21.956  0.021  1.560  0.033
A91    190.9388223 +11.5748837 22.911  0.016 21.964  0.021  0.946  0.027
A92    190.9329153 +11.5601469 23.590  0.022 22.040  0.022  1.567  0.032
A93    190.9687610 +11.5804388 22.946  0.016 21.998  0.020  0.948  0.025
A94    190.9629815 +11.5648659 23.538  0.023 22.025  0.021  1.513  0.031
A95    190.9747689 +11.5635974 23.184  0.019 22.040  0.020  1.144  0.027
A96    190.9667941 +11.5597001 23.005  0.018 22.016  0.021  0.988  0.028
A97    190.9765615 +11.5359903 23.491  0.022 22.058  0.021  1.433  0.031
A99    190.9701358 +11.5587549 23.689  0.025 22.078  0.021  1.612  0.033
A100   190.9348010 +11.5648342 23.762  0.022 22.143  0.013  1.612  0.025
A102   190.9406872 +11.5539360 23.595  0.016 22.117  0.019  1.453  0.025
A103   190.9302973 +11.5599805 23.216  0.016 22.146  0.024  1.034  0.028
A105   190.9409276 +11.5545909 23.512  0.013 22.201  0.015  1.316  0.020
A106   190.9666735 +11.5787750 23.152  0.018 22.155  0.021  0.997  0.028
A107   190.9309588 +11.5689002 23.642  0.019 22.191  0.018  1.451  0.026
A108   190.9415198 +11.5709235 23.374  0.015 22.156  0.017  1.197  0.023
A109   190.9296233 +11.5637357 23.809  0.029 22.208  0.024  1.569  0.037
A110   190.9736648 +11.5644400 23.654  0.025 22.027  0.021  1.622  0.033
A111   190.9379280 +11.5571008 23.169  0.014 22.201  0.023  0.957  0.027
A112   190.9692204 +11.5532635 23.593  0.025 22.164  0.021  1.429  0.033
A113   190.9324968 +11.5565703 23.075  0.016 22.199  0.019  0.876  0.024
A114   190.9751970 +11.5654438 23.234  0.019 22.192  0.021  1.042  0.029
A115   190.9638836 +11.5507192 23.477  0.022 22.204  0.023  1.274  0.032
A116   190.9674504 +11.5493161 23.336  0.020 22.231  0.023  1.106  0.031
A117   190.9543741 +11.5654310 23.669  0.025 22.252  0.023  1.417  0.034
A118   190.9561146 +11.5506488 23.951  0.030 22.171  0.025  1.780  0.040
A120   190.9978998 +11.5586000 23.761  0.023 22.289  0.021  1.472  0.031
A121   190.9608561 +11.5695959 23.842  0.026 22.301  0.023  1.541  0.035
A123   190.9527998 +11.5585297 23.107  0.019 22.296  0.025  0.811  0.031
A124   190.9709229 +11.5544452 23.672  0.025 22.299  0.023  1.373  0.034
A125   190.9457096 +11.5638684 23.144  0.016 22.305  0.021  0.814  0.027
A126   190.9689817 +11.5499295 23.179  0.019 22.342  0.025  0.837  0.031
A127   190.9399598 +11.5654071 23.368  0.017 22.377  0.019  1.017  0.025
