# ID             RA           DEC         RV     RV_err   RAD    index_phot   g        err_g   z        err_z   (g-z)   err_gz  
  NGC4649_S259   190.895413   11.561272   1387   6        1.35   J551         21.637   0.026   20.257   0.015   1.38    0.03    
  NGC4649_S260   190.909422   11.575511   731    8        1.43   J586         22.653   0.025   20.993   0.027   1.66    0.037   
  NGC4649_S261   190.899881   11.571098   989    13       1.48   J609         22.428   0.017   21.169   0.015   1.259   0.023   
  NGC4649_S262   190.892924   11.562687   1170   13       1.51   J623         21.865   0.042   20.931   0.049   0.934   0.065   
  NGC4649_S263   190.894222   11.566339   1170   9        1.55   J636         21.389   0.017   20.37    0.016   1.019   0.023   
  NGC4649_S264   190.895288   11.569726   1330   14       1.61   J668         22.2     0.028   20.764   0.015   1.436   0.032   
  NGC4649_S265   190.91038    11.550754   1399   8        0.38   J64          23.479   0.036   22.158   0.036   1.321   0.051   
  NGC4649_S266   190.922264   11.555807   1624   31       0.38   J70          22.346   0.021   20.746   0.031   1.6     0.037   
  NGC4649_S267   190.887003   11.551661   1252   29       1.74   J702         23.339   0.08    22.309   0.042   1.03    0.09    
  NGC4649_S268   190.912608   11.558319   1859   5        0.41   J76          20.418   0.036   19.188   0.022   1.23    0.042   
