# ID             RA           DEC         RV     RV_err   RAD    index_phot   g        err_g   z        err_z   (g-z)   err_gz  
  NGC4649_S60    190.93679    11.548458   619    9        1.22   B13          21.256   0.01    19.824   0.011   1.434   0.014   
  NGC4649_S61    190.953367   11.500012   1200   11       3.83   B131         23.454   0.02    22.04    0.02    1.414   0.028   
  NGC4649_S63    190.964093   11.525512   981    20       3.24   B14          20.903   0.011   19.895   0.012   1.009   0.016   
  NGC4649_S64    190.94117    11.541692   1248   12       1.59   B143         23.617   0.025   22.15    0.025   1.467   0.035   
  NGC4649_S65    190.94126    11.514928   687    13       2.69   B15          20.886   0.011   19.955   0.012   0.93    0.016   
  NGC4649_S66    190.951988   11.519797   1042   8        2.87   B16          21.601   0.012   19.995   0.012   1.606   0.017   
  NGC4649_S67    190.952201   11.537679   1326   14       2.28   B163         23.332   0.02    22.281   0.025   1.051   0.032   
  NGC4649_S68    190.972161   11.528278   1326   14       3.58   B175         23.381   0.02    22.41    0.025   0.971   0.032   
  NGC4649_S69    190.946732   11.50276    1059   5        3.48   B18          21.211   0.011   20.184   0.012   1.027   0.016   
  NGC4649_S70    190.945408   11.542805   1035   6        1.8    B19          21.807   0.012   20.258   0.012   1.55    0.017   
  NGC4649_S71    190.936721   11.515761   903    12       2.51   B21          21.36    0.012   20.268   0.012   1.091   0.017   
  NGC4649_S72    190.961741   11.497691   935    32       4.24   B23          21.475   0.012   20.332   0.012   1.144   0.017   
  NGC4649_S73    190.958568   11.516367   1028   11       3.29   B24          21.317   0.011   20.339   0.012   0.978   0.016   
  NGC4649_S74    190.932227   11.529109   907    4        1.69   B25          21.486   0.012   20.382   0.012   1.104   0.017   
  NGC4649_S75    190.942434   11.539054   845    14       1.73   B28          22.02    0.013   20.542   0.013   1.478   0.018   
  NGC4649_S76    190.962592   11.51511    663    18       3.52   B29          21.65    0.012   20.592   0.013   1.058   0.018   
  NGC4649_S77    190.927681   11.51649    820    6        2.27   B31          21.969   0.013   20.632   0.013   1.337   0.018   
  NGC4649_S78    190.948131   11.539458   1015   14       2.02   B32          21.735   0.012   20.642   0.013   1.093   0.018   
  NGC4649_S79    190.917448   11.501384   1337   5        3.08   B34          22.089   0.013   20.645   0.013   1.445   0.018   
  NGC4649_S80    190.974527   11.531692   836    12       3.63   B36          22.133   0.013   20.743   0.013   1.39    0.018   
  NGC4649_S81    190.981131   11.536706   794    11       3.92   B38          21.723   0.012   20.759   0.013   0.964   0.018   
  NGC4649_S82    190.949435   11.528578   881    8        2.41   B39          21.905   0.013   20.786   0.013   1.119   0.018   
  NGC4649_S83    190.94055    11.512596   1139   7        2.79   B41          21.854   0.012   20.814   0.013   1.04    0.018   
  NGC4649_S84    190.982818   11.537818   1107   10       4.0    B43          21.842   0.012   20.812   0.013   1.03    0.018   
  NGC4649_S85    190.968799   11.525652   1241   9        3.47   B45          22.221   0.013   20.84    0.013   1.382   0.018   
  NGC4649_S86    190.968731   11.515358   840    14       3.8    B47          22.114   0.013   20.893   0.013   1.22    0.018   
  NGC4649_S87    190.947294   11.53229    1072   8        2.18   B50          21.981   0.013   20.926   0.015   1.055   0.019   
  NGC4649_S88    190.986235   11.539346   638    9        4.17   B51          22.357   0.014   20.933   0.013   1.424   0.019   
  NGC4649_S89    190.942476   11.524928   1059   8        2.26   B55          22.077   0.013   21.064   0.015   1.014   0.019   
  NGC4649_S90    190.975379   11.517859   915    19       4.04   B59          22.061   0.013   21.161   0.015   0.9     0.019   
  NGC4649_S91    190.930155   11.532484   1120   26       1.45   B65          22.893   0.016   21.319   0.016   1.574   0.023   
  NGC4649_S92    190.956637   11.515818   1033   7        3.23   B68          22.67    0.015   21.306   0.016   1.364   0.022   
  NGC4649_S93    190.94619    11.522652   1114   11       2.51   B77          22.296   0.014   21.391   0.016   0.905   0.021   
  NGC4649_S94    190.984069   11.536672   1148   16       4.08   B85          22.499   0.014   21.202   0.015   1.298   0.02    
  NGC4649_S95    190.975521   11.51811    1076   21       4.04   B87          22.913   0.016   21.552   0.016   1.361   0.023   
  NGC4649_S96    190.931689   11.518259   1084   11       2.25   B89          22.84    0.016   21.607   0.018   1.233   0.024   
  NGC4649_S97    190.935672   11.53936    1230   18       1.38   B94          22.632   0.015   21.685   0.021   0.946   0.026   
  NGC4649_S98    190.907245   11.617526   1209   6        3.93   C10          21.738   0.012   20.414   0.012   1.324   0.017   
  NGC4649_S99    190.902832   11.59475    1326   23       2.65   C101         22.928   0.016   22.092   0.021   0.836   0.027   
  NGC4649_S100   190.934062   11.584262   641    39       2.15   C103         22.963   0.018   22.121   0.021   0.842   0.028   
  NGC4649_S101   190.936866   11.603551   1055   8        3.28   C11          21.559   0.012   20.429   0.012   1.13    0.017   
  NGC4649_S102   190.907124   11.58134    1495   24       1.81   C123         23.801   0.022   22.361   0.02    1.457   0.03    
  NGC4649_S103   190.8982     11.60234    1117   50       3.17   C13          21.88    0.012   20.568   0.013   1.311   0.018   
  NGC4649_S104   190.91818    11.596693   1153   29       2.64   C15          21.81    0.012   20.703   0.013   1.107   0.018   
  NGC4649_S105   190.901653   11.594859   1008   11       2.68   C21          22.339   0.014   20.845   0.013   1.493   0.019   
  NGC4649_S107   190.903119   11.603261   779    10       3.13   C30          22.516   0.014   21.123   0.015   1.394   0.02    
  NGC4649_S108   190.924373   11.586018   1302   9        2.05   C31          22.374   0.014   21.14    0.015   1.235   0.02    
  NGC4649_S109   190.914791   11.581128   875    10       1.71   C32          22.072   0.012   21.171   0.01    0.875   0.015   
  NGC4649_S110   190.926298   11.57923    1198   12       1.69   C37          22.08    0.013   21.258   0.016   0.822   0.021   
  NGC4649_S111   190.949711   11.594466   1247   22       3.17   C4           21.083   0.011   19.943   0.012   1.14    0.016   
  NGC4649_S112   190.932462   11.587275   648    11       2.27   C41          22.358   0.014   21.318   0.016   1.04    0.021   
  NGC4649_S114   190.917103   11.592138   762    11       2.37   C44          22.283   0.014   21.373   0.016   0.91    0.021   
  NGC4649_S115   190.902201   11.584112   1433   16       2.06   C45          22.963   0.018   21.376   0.016   1.587   0.024   
  NGC4649_S116   190.929196   11.621098   1000   16       4.17   C46          22.325   0.014   21.404   0.016   0.921   0.021   
  NGC4649_S117   190.933412   11.592482   1070   17       2.58   C50          23.017   0.018   21.516   0.016   1.5     0.024   
  NGC4649_S118   190.931122   11.586067   1048   110      2.18   C53          22.403   0.014   21.477   0.016   0.925   0.021   
  NGC4649_S119   190.924164   11.608236   871    11       3.36   C55          22.971   0.016   21.565   0.016   1.406   0.023   
  NGC4649_S120   190.926099   11.573786   1425   9        1.38   C56          22.47    0.014   21.537   0.014   0.936   0.02    
  NGC4649_S121   190.913051   11.609108   882    13       3.39   C58          22.555   0.014   21.626   0.016   0.929   0.021   
  NGC4649_S122   190.927073   11.625386   999    18       4.4    C59          22.59    0.015   21.655   0.016   0.935   0.022   
  NGC4649_S123   190.930299   11.599826   1381   9        2.94   C60          22.806   0.016   21.671   0.018   1.136   0.024   
  NGC4649_S124   190.923519   11.585082   1191   15       1.99   C66          23.1     0.019   21.762   0.02    1.338   0.027   
  NGC4649_S125   190.894246   11.602852   1508   7        3.28   C7           21.139   0.011   20.238   0.012   0.901   0.016   
  NGC4649_S126   190.916334   11.576334   1048   16       1.42   C71          23.073   0.011   21.84    0.016   1.228   0.02    
  NGC4649_S127   190.925658   11.572939   1327   14       1.33   C72          23.424   0.022   21.846   0.018   1.528   0.028   
  NGC4649_S128   190.932446   11.578073   786    41       1.79   C73          22.659   0.015   21.834   0.02    0.826   0.025   
  NGC4649_S129   190.933142   11.580597   1209   11       1.94   C81          22.656   0.015   21.525   0.018   1.131   0.023   
  NGC4649_S131   190.936884   11.591388   1016   12       2.61   C85          23.408   0.02    21.928   0.02    1.479   0.028   
  NGC4649_S132   190.916373   11.62678    1312   16       4.44   C86          22.8     0.015   21.966   0.018   0.834   0.023   
  NGC4649_S133   190.895139   11.592606   801    13       2.71   C89          23.346   0.022   21.969   0.021   1.377   0.03    
  NGC4649_S134   190.896571   11.602604   1477   6        3.22   C9           21.436   0.012   20.272   0.012   1.164   0.017   
  NGC4649_S139   190.882461   11.537553   1236   22       2.2    D105         22.816   0.014   21.585   0.013   1.248   0.019   
  NGC4649_S140   190.880918   11.501524   1541   13       3.72   D108         22.511   0.014   21.525   0.016   0.986   0.021   
  NGC4649_S141   190.863119   11.494442   1200   16       4.7    D111         22.639   0.015   21.613   0.016   1.026   0.022   
  NGC4649_S142   190.876828   11.528751   714    67       2.74   D126         22.653   0.015   21.786   0.018   0.867   0.023   
  NGC4649_S143   190.888974   11.515714   1772   12       2.75   D127         22.503   0.015   21.566   0.018   0.937   0.023   
  NGC4649_S144   190.873014   11.492471   1293   11       4.43   D128         22.911   0.016   21.849   0.018   1.061   0.024   
  NGC4649_S145   190.893571   11.488415   1174   26       4.09   D131         23.033   0.018   21.895   0.02    1.138   0.026   
  NGC4649_S146   190.873724   11.497264   1291   8        4.17   D15          21.011   0.011   19.801   0.011   1.21    0.016   
  NGC4649_S147   190.889054   11.505642   948    6        3.25   D16          20.895   0.011   19.807   0.012   1.088   0.016   
  NGC4649_S148   190.900264   11.522176   1017   6        2.07   D17          21.232   0.011   19.864   0.012   1.368   0.016   
  NGC4649_S149   190.874997   11.524772   1091   28       2.96   D18          21.341   0.011   19.905   0.012   1.436   0.016   
  NGC4649_S150   190.91669    11.533011   979    8        1.18   D21          21.374   0.01    20.092   0.009   1.294   0.013   
  NGC4649_S151   190.875923   11.533314   933    6        2.66   D23          21.767   0.012   20.158   0.012   1.61    0.017   
  NGC4649_S152   190.872817   11.500404   1150   10       4.06   D24          21.502   0.012   20.193   0.012   1.309   0.017   
  NGC4649_S153   190.911563   11.490214   1174   5        3.76   D25          21.242   0.011   20.29    0.012   0.952   0.016   
  NGC4649_S154   190.894771   11.52508    1323   7        2.09   D26          21.23    0.011   20.272   0.012   0.958   0.016   
  NGC4649_S155   190.904165   11.510798   1086   15       2.62   D27          21.267   0.011   20.271   0.012   0.996   0.016   
  NGC4649_S156   190.905269   11.521342   1160   7        2.0    D28          21.3     0.011   20.352   0.012   0.948   0.016   
  NGC4649_S157   190.888132   11.502481   978    8        3.45   D29          21.417   0.012   20.359   0.012   1.058   0.017   
  NGC4649_S158   190.900524   11.503067   1164   5        3.12   D34          21.434   0.012   20.417   0.012   1.017   0.017   
  NGC4649_S159   190.885548   11.509034   939    10       3.19   D35          21.608   0.012   20.447   0.012   1.162   0.017   
  NGC4649_S160   190.897073   11.523806   1194   18       2.08   D36          21.57    0.012   20.472   0.013   1.098   0.018   
  NGC4649_S161   190.905429   11.500656   1331   17       3.19   D37          21.398   0.012   20.448   0.013   0.95    0.018   
  NGC4649_S162   190.909617   11.536153   1302   10       1.07   D44          21.975   0.009   20.65    0.012   1.305   0.015   
  NGC4649_S163   190.89402    11.54107    1478   17       1.5    D45          21.642   0.01    20.683   0.01    0.95    0.014   
  NGC4649_S164   190.878539   11.514616   1265   13       3.2    D46          22.336   0.014   20.766   0.013   1.57    0.019   
  NGC4649_S165   190.910507   11.481268   1068   8        4.3    D49          22.239   0.013   20.805   0.013   1.434   0.018   
  NGC4649_S166   190.891427   11.517326   1318   8        2.59   D52          21.768   0.012   20.85    0.013   0.918   0.018   
  NGC4649_S167   190.903349   11.482846   1077   7        4.26   D54          21.781   0.012   20.891   0.013   0.89    0.018   
  NGC4649_S168   190.918588   11.526058   1114   13       1.6    D57          21.921   0.01    20.971   0.01    0.952   0.014   
  NGC4649_S169   190.90194    11.498321   1120   24       3.37   D58          21.869   0.013   20.961   0.013   0.907   0.018   
  NGC4649_S170   190.902652   11.505414   1490   7        2.95   D59          21.85    0.013   20.982   0.015   0.868   0.019   
  NGC4649_S171   190.884515   11.49921    599    12       3.72   D61          21.892   0.013   21.038   0.015   0.854   0.019   
  NGC4649_S172   190.915322   11.502656   960    8        3.0    D62          22.196   0.013   21.093   0.015   1.103   0.019   
  NGC4649_S173   190.918411   11.519521   1150   27       1.99   D65          22.042   0.013   21.107   0.015   0.936   0.019   
  NGC4649_S174   190.912675   11.527524   1042   44       1.53   D66          22.105   0.009   21.167   0.011   0.934   0.014   
  NGC4649_S175   190.902542   11.511701   1502   8        2.59   D67          22.147   0.013   21.151   0.015   0.995   0.019   
  NGC4649_S177   190.905873   11.536985   1202   18       1.13   D70          22.595   0.013   21.07    0.012   1.618   0.018   
  NGC4649_S178   190.920575   11.526212   977    22       1.61   D76          22.5     0.011   21.277   0.013   1.235   0.016   
  NGC4649_S179   190.914518   11.530622   1485   20       1.33   D86          22.728   0.014   21.417   0.014   1.334   0.019   
  NGC4649_S180   190.873927   11.509989   1142   14       3.58   D91          22.478   0.014   21.456   0.016   1.022   0.021   
  NGC4649_S181   190.867439   11.563184   841    5        2.96   E10          21.392   0.012   20.48    0.012   0.913   0.017   
  NGC4649_S182   190.821115   11.543867   1181   14       5.64   E101         23.372   0.019   22.349   0.023   1.024   0.03    
  NGC4649_S183   190.870548   11.569695   1348   18       2.89   E103         23.567   0.023   22.355   0.025   1.212   0.034   
  NGC4649_S184   190.871242   11.547231   1285   24       2.68   E107         23.825   0.018   22.43    0.016   1.434   0.024   
  NGC4649_S185   190.878644   11.570993   818    6        2.48   E11          21.739   0.012   20.506   0.013   1.234   0.018   
  NGC4649_S186   190.845696   11.553962   1675   18       4.17   E111         23.84    0.025   22.465   0.025   1.375   0.035   
  NGC4649_S187   190.874845   11.547904   1209   19       2.47   E13          21.86    0.011   20.844   0.01    1.021   0.015   
  NGC4649_S188   190.85731    11.555255   1347   17       3.49   E150         24.293   0.034   22.929   0.033   1.364   0.047   
  NGC4649_S189   190.836408   11.577801   1197   7        4.95   E19          22.568   0.014   21.049   0.015   1.519   0.02    
  NGC4649_S190   190.874522   11.555089   1130   7        2.48   E20          22.486   0.014   21.092   0.015   1.395   0.02    
  NGC4649_S191   190.878452   11.558603   971    9        2.27   E22          22.008   0.01    20.845   0.01    1.065   0.014   
  NGC4649_S192   190.883222   11.563824   993    6        2.07   E24          22.768   0.013   21.163   0.011   1.59    0.017   
  NGC4649_S193   190.878966   11.561461   892    10       2.27   E29          22.41    0.012   21.209   0.014   1.24    0.018   
  NGC4649_S194   190.854106   11.579012   893    6        4.0    E33          22.423   0.014   21.257   0.015   1.166   0.02    
  NGC4649_S195   190.853808   11.540789   1323   9        3.76   E34          22.313   0.014   21.321   0.016   0.992   0.021   
  NGC4649_S196   190.839524   11.573301   1358   8        4.69   E37          22.459   0.014   21.385   0.015   1.074   0.02    
  NGC4649_S197   190.847521   11.546213   1393   32       4.08   E4           21.257   0.011   20.111   0.012   1.146   0.016   
  NGC4649_S198   190.85472    11.562113   1200   13       3.68   E40          22.473   0.014   21.468   0.016   1.004   0.021   
  NGC4649_S199   190.890296   11.566226   724    31       1.74   E42          22.802   0.012   21.503   0.013   1.332   0.018   
  NGC4649_S200   190.867689   11.544004   1330   27       2.92   E43          22.35    0.014   21.483   0.016   0.866   0.021   
  NGC4649_S201   190.826429   11.553471   1537   18       5.3    E44          22.73    0.015   21.522   0.016   1.208   0.022   
  NGC4649_S202   190.831492   11.530047   1228   21       5.18   E46          22.893   0.016   21.538   0.016   1.355   0.023   
  NGC4649_S203   190.835794   11.557513   1503   13       4.76   E49          22.474   0.014   21.627   0.016   0.846   0.021   
  NGC4649_S204   190.86183    11.571652   1393   10       3.41   E53          22.534   0.015   21.673   0.02    0.861   0.025   
  NGC4649_S205   190.861844   11.523624   1521   46       3.66   E55          22.742   0.015   21.695   0.018   1.047   0.023   
  NGC4649_S206   190.849492   11.570089   1088   18       4.08   E62          22.749   0.015   21.851   0.018   0.899   0.023   
  NGC4649_S207   190.858854   11.551629   1354   18       3.39   E70          23.291   0.02    21.954   0.02    1.338   0.028   
  NGC4649_S208   190.864444   11.561433   1051   16       3.11   E72          22.918   0.016   22.048   0.021   0.87    0.027   
  NGC4649_S209   190.867012   11.541612   1317   35       2.99   E8           21.681   0.012   20.369   0.012   1.312   0.017   
  NGC4649_S211   190.827631   11.560081   1401   12       5.25   E99          23.83    0.025   22.346   0.021   1.484   0.033   
  NGC4649_S212   190.908135   11.554619   1346   10       0.51   J106         23.547   0.033   22.206   0.313   1.341   0.315   
  NGC4649_S213   190.908247   11.555142   1083   22       0.51   J107         23.185   0.029   21.476   0.035   1.709   0.045   
  NGC4649_S214   190.911308   11.54594    927    46       0.51   J108         23.194   0.031   21.974   0.022   1.22    0.038   
  NGC4649_S215   190.923321   11.558147   1265   26       0.51   J112         22.326   0.02    20.826   0.017   1.5     0.026   
  NGC4649_S216   190.92524    11.550037   941    8        0.53   J125         21.896   0.016   20.611   0.009   1.285   0.018   
  NGC4649_S217   190.924935   11.54913    1128   27       0.54   J128         22.118   0.018   20.828   0.021   1.29    0.028   
  NGC4649_S218   190.912073   11.544764   1337   40       0.54   J131         21.995   0.014   20.716   0.012   1.279   0.018   
  NGC4649_S219   190.91523    11.555139   1303   13       0.17   J15          22.083   0.021   20.684   0.019   1.399   0.028   
  NGC4649_S220   190.922995   11.544826   970    10       0.61   J153         21.773   0.011   20.643   0.013   1.13    0.017   
  NGC4649_S221   190.910652   11.54433    923    39       0.61   J157         21.001   0.017   20.006   0.012   0.995   0.021   
  NGC4649_S222   190.923368   11.560789   1179   10       0.63   J166         21.654   0.023   20.373   0.014   1.281   0.027   
  NGC4649_S223   190.923122   11.544386   1451   44       0.63   J167         21.677   0.014   20.748   0.015   0.929   0.021   
  NGC4649_S224   190.91284    11.542577   979    18       0.65   J171         23.06    0.022   21.518   0.021   1.542   0.03    
  NGC4649_S225   190.919218   11.563266   1579   63       0.65   J175         22.929   0.034   22.005   0.047   0.924   0.058   
  NGC4649_S226   190.926066   11.558308   625    6        0.65   J176         21.652   0.015   20.061   0.013   1.591   0.02    
  NGC4649_S227   190.905011   11.551653   703    47       0.68   J187         22.406   0.013   20.868   0.021   1.538   0.025   
  NGC4649_S228   190.91174    11.56301    1297   11       0.68   J188         22.048   0.018   20.669   0.014   1.379   0.023   
  NGC4649_S229   190.909375   11.561721   742    37       0.69   J193         22.224   0.013   21.074   0.014   1.15    0.019   
  NGC4649_S230   190.906506   11.54601    875    28       0.71   J209         21.8     0.038   20.837   0.028   0.963   0.047   
  NGC4649_S231   190.926953   11.559918   914    30       0.75   J225         21.945   0.017   21.045   0.019   0.9     0.025   
  NGC4649_S232   190.929176   11.554596   909    19       0.75   J227         23.048   0.761   21.427   0.026   1.621   0.761   
  NGC4649_S233   190.91607    11.539548   1330   19       0.79   J239         22.974   0.018   21.453   0.017   1.521   0.025   
  NGC4649_S234   190.911694   11.565295   1086   6        0.81   J247         22.38    0.024   21.283   0.019   1.097   0.031   
  NGC4649_S235   190.915476   11.539077   992    6        0.82   J253         20.776   0.009   19.192   0.012   1.584   0.015   
  NGC4649_S236   190.930232   11.557021   785    28       0.84   J268         22.365   0.014   21.27    0.019   1.095   0.024   
  NGC4649_S237   190.905955   11.563472   1494   19       0.9    J296         23.628   0.026   22.29    0.159   1.338   0.161   
