   1 214.5876560 +36.5028482  17.7907   0.0025
   2 214.5834722 +36.4806666  23.4311   0.0216
   3 214.5840944 +36.4803648  20.6395   0.0038
   4 214.5840734 +36.4830285  21.9843   0.0085
   5 214.5846462 +36.4899174  23.4641   0.0636
   6 214.5852441 +36.5024944  22.1123   0.0074
   7 214.5835240 +36.4827270  25.4151   0.0743
   8 214.6256611 +36.4859324  24.5683   0.0725
   9 214.6250840 +36.4790612  24.1552   0.0404
  10 214.6260444 +36.4932720  22.7755   0.0181
  11 214.6254600 +36.4841279  26.7360   0.1965
  12 214.6254171 +36.4837794  25.5366   0.1329
  13 214.6260372 +36.4926469  25.5822   0.1414
  14 214.6254862 +36.4854472  25.4399   0.0917
  15 214.6243213 +36.4743735  20.0128   0.0030
  16 214.6264782 +36.4998088  23.5145   0.0275
  17 214.6264260 +36.4982911  25.6841   0.1259
  18 214.6267505 +36.5067497  22.6046   0.0157
  19 214.6244596 +36.4731689  26.8529   0.1485
  20 214.6267041 +36.5040948  25.0539   0.0762
  21 214.6243123 +36.4729733  26.3969   0.1407
  22 214.6263341 +36.5000937  23.9009   0.0364
  23 214.6260328 +36.4962563  24.3037   0.0847
  24 214.6259542 +36.4957838  24.2940   0.0648
  25 214.6246713 +36.4777411  26.3899   0.1246
  26 214.6244901 +36.4758635  26.0582   0.1407
  27 214.6247305 +36.4795540  25.8058   0.1250
  28 214.6256658 +36.4926581  25.2024   0.1117
  29 214.6251545 +36.4856133  26.0903   0.1299
  30 214.6267139 +36.5081778  26.3309   0.1932
  31 214.6244097 +36.4792479  22.8392   0.0145
  32 214.6259270 +36.4992352  24.0693   0.0459
  33 214.6250603 +36.4825122  24.5590   0.0468
  34 214.6244436 +36.4818657  23.9226   0.0522
  35 214.6242896 +36.4769412  25.9884   0.1439
  36 214.6266957 +36.5091098  25.6512   0.1394
  37 214.6249142 +36.4851595  26.0449   0.1314
  38 214.6251531 +36.4889705  25.7573   0.1913
  39 214.6244448 +36.4806242  24.0675   0.0304
  40 214.6242293 +36.4773933  25.2763   0.1077
  41 214.6263249 +36.5052535  26.0487   0.1758
  42 214.6249535 +36.4820457  21.5570   0.0053
  43 214.6260017 +36.5018519  25.2698   0.0885
  44 214.6248002 +36.4857983  25.6531   0.1778
  45 214.6247078 +36.4847087  25.9835   0.1213
  46 214.6236428 +36.4731586  24.4233   0.0436
  47 214.6237312 +36.4755858  26.2838   0.1212
  48 214.6261253 +36.5076014  25.5513   0.1353
  49 214.6248721 +36.4937298  23.9656   0.0510
  50 214.6236409 +36.4761661  26.8558   0.2050
  51 214.6234783 +36.4762841  24.0661   0.0595
  52 214.6251400 +36.4966660  25.1315   0.1641
  53 214.6245566 +36.4894498  24.2147   0.1049
  54 214.6233633 +36.4746442  24.9092   0.0512
  55 214.6246904 +36.4920843  25.5331   0.1857
  56 214.6256690 +36.5064999  24.6514   0.1005
  57 214.6241003 +36.4849815  25.1491   0.0846
  58 214.6240895 +36.4845785  25.5728   0.1761
  59 214.6246317 +36.4923816  25.3645   0.1512
  60 214.6245587 +36.5009588  20.9137   0.0139
  61 214.6235027 +36.4802008  23.4100   0.0243
  62 214.6234580 +36.4804090  23.6888   0.0296
  63 214.6232545 +36.4758029  25.8648   0.1499
  64 214.6246527 +36.4928224  25.1001   0.1622
  65 214.6254668 +36.5071695  26.1709   0.1707
  66 214.6227385 +36.4777618  24.0520   0.0789
  67 214.6238816 +36.4902346  23.8770   0.0722
  68 214.6250229 +36.5045376  23.4592   0.0318
  69 214.6239346 +36.4893924  24.2571   0.0608
  70 214.6229650 +36.4765049  24.7045   0.0712
  71 214.6234999 +36.4834628  24.9617   0.1335
  72 214.6227900 +36.4736823  26.7363   0.1165
  73 214.6230636 +36.4784507  25.7575   0.1508
  74 214.6228332 +36.4750483  26.4472   0.1940
  75 214.6231335 +36.4774859  24.0245   0.0694
  76 214.6237850 +36.4880876  25.7675   0.2578
  77 214.6241623 +36.4994313  20.3642   0.0092
  78 214.6227616 +36.4790626  23.3410   0.0401
  79 214.6228252 +36.4783381  25.0086   0.1202
  80 214.6226973 +36.4760394  25.7517   0.1691
  81 214.6227178 +36.4772523  25.3305   0.1142
  82 214.6248033 +36.5061907  24.3230   0.0540
  83 214.6234117 +36.4874464  24.1302   0.0985
  84 214.6226260 +36.4770145  24.9052   0.1364
  85 214.6239052 +36.4945765  24.4822   0.0810
  86 214.6224711 +36.4750169  26.9781   0.2746
  87 214.6223004 +36.4732095  26.5457   0.1014
  88 214.6227820 +36.4803553  25.4343   0.1109
  89 214.6224463 +36.4757745  26.9624   0.2816
  90 214.6252788 +36.5099708  25.8742   0.1427
  91 214.6240715 +36.4985701  24.8321   0.1178
  92 214.6238567 +36.4975547  23.6669   0.0573
  93 214.6222382 +36.4756458  25.9276   0.1942
  94 214.6245444 +36.5094041  24.0061   0.0360
