01 226.616780	1.546110  1821 	24.096	22.917	
02 226.616530	1.557890  1306 	23.540	22.463	
03 226.573840	1.529840  1719 	21.598	20.793	
04 226.563590	1.529620  1728 	23.233	21.991	
05 226.568700	1.534220  1933 	24.157	23.007	
06 226.565320	1.547010  1726 	22.961	21.905	
07 226.600250	1.582210  1682 	23.281	21.977	
08 226.611590	1.592070  1541 	23.741	22.732	
09 226.573250	1.573120  1372 	23.929	22.678	
10 226.541530	1.551200  1448 	22.638	21.531	
11 226.551380	1.560320  1658 	22.789	21.966	
12 226.648940	1.629220  1328 	24.025	22.959	
13 226.565380	1.574250  905  	22.486	21.705	
14 226.586500	1.591140  2021 	22.797	21.564	
15 226.545500	1.568200  1730 	24.015	22.874	
16 226.608760	1.617030  1506 	22.220	21.244	
17 226.662390	1.655740  1409 	24.073	22.851	
18 226.652470	1.654950  1466 	22.896	21.943	
19 226.658910	1.659800  1582 	22.506	21.722	
20 226.635340	1.645250  2257 	23.278	22.320	
21 226.658010	1.662400  1716 	23.530	22.865	
22 226.649820	1.658850  1629 	22.124	21.265	
23 226.661250	1.666960  2036 	21.744	20.877	
24 226.663860	1.673900  1417 	22.707	21.740	
25 226.593710	1.629320  2166 	22.548	21.736	
26 226.629340	1.660180  1548 	22.915	21.874	
27 226.630000	1.662610  1450 	22.788	22.010	
28 226.672380	1.694400  2211 	23.584	22.490	
29 226.621120	1.660130  1749 	22.988	22.257	
30 226.643960	1.680480  1925 	23.280	22.051	
31 226.658230	1.704450  1649 	23.519	22.522	
32 226.648730	1.706260  1455 	22.341	21.618	
33 226.686090	1.733320  1379 	22.732	21.918	
34 226.639440	1.701680  1881 	23.314	22.197	
35 226.659960	1.722690  1424 	23.551	22.732	
36 226.625990	1.702590  1300 	22.363	21.304	
37 226.614050	1.709890  1506 	23.483	22.628	
38 226.660290	1.747750  1793 	22.533	21.673	
39 226.626000	1.604010  1740 	23.402	22.370	
40 226.627020	1.611210  1788 	24.285	23.320	
41 226.629440	1.625080  1710 	24.219	23.220	
42 226.626090	1.624190  1910 	23.253	22.310	
43 226.624710	1.622750  1773 	24.358	23.460	
44 226.616710	1.623610  1601 	24.331	23.220	
45 226.626350	1.596760  1969 	22.746	21.770	
46 226.646930	1.632940  2012 	24.008	22.920	
47 226.614780	1.582480  1538 	24.536	23.470	
48 226.730480	1.607220  1703 	23.266	22.121	
49 226.734520	1.622220  2110 	21.916	21.214	
50 226.714100	1.616900  1721 	23.297	22.461	
51 226.691670	1.602360  1962 	21.727	20.605	
52 226.699730	1.612110  1960 	22.103	21.258	
53 226.659590	1.606280  1878 	22.600	21.755	
54 226.664600	1.613620  1599 	22.781	21.908	
55 226.681090	1.626350  1901 	22.823	21.761	
56 226.730940	1.662120  1487 	22.734	21.803	
57 226.721140	1.659110  1809 	22.851	21.822	
58 226.658630	1.645400  1559 	21.751	20.800	
59 226.654880	1.655250  2339 	22.365	21.576	
60 226.602400	1.621800  1948 	22.327	21.663	
61 226.611380	1.629550  1770 	22.897	21.991	
62 226.577110	1.620600  1596 	22.316	21.268	
63 226.599830	1.638430  1463 	22.903	22.027	
64 226.571910	1.640240  1959 	21.853	20.913	
65 226.554180	1.635260  1802 	21.792	20.922	
66 226.600070	1.674460  1233 	22.034	21.239	
67 226.558500	1.649260  1688 	22.866	22.011	
68 226.568460	1.658920  1498 	22.578	21.803	
69 226.623150	1.600640  1974 	23.057	22.170	
70 226.640230	1.606370  1722 	23.825	22.770	
71 226.630150	1.605070  1696 	24.338	23.160	
72 226.645640	1.511700  2020 	23.931	22.916	
73 226.597480	1.496750  2055 	23.460	22.700	
74 226.602570	1.502390  1849 	22.989	21.694	
75 226.646110	1.538940  1812 	23.269	22.547	
76 226.647160	1.540620  1743 	23.633	22.559	
77 226.590580	1.503720  1698 	23.432	22.599	
78 226.615350	1.521190  1562 	24.136	22.693	
79 226.651970	1.547870  1865 	23.856	22.774	
80 226.639550	1.542420  1666 	23.263	22.464	
81 226.648830	1.563190  1258 	23.071	22.258	
82 226.596210	1.532900  1534 	23.573	22.716	
83 226.614200	1.556410  1728 	23.351	22.236	
84 226.581610	1.544080  1667 	23.268	22.240	
85 226.602300	1.567580  1445 	23.808	22.825	
86 226.600170	1.571480  2004 	23.243	22.463	
87 226.593710	1.568970  1680 	21.992	20.992	
88 226.598280	1.578100  1736 	23.399	22.497	
89 226.585640	1.574990  1878 	21.715	20.544	
90 226.600620	1.596620  1845 	23.233	22.477	
91 226.598600	1.608410  1627 	22.940	22.157	
92 226.604420	1.612880  1262 	22.291	21.367	
93 226.596860	1.613990  1875 	22.986	21.614	
