226.571910	1.640240 	1959 	17   	21.853	0.004 	21.239	0.002 	20.913	0.005
226.554180	1.635260 	1802 	14   	21.792	0.004 	21.195	0.002 	20.922	0.004
226.600070	1.674460 	1233 	22   	22.034	0.005 	21.507	0.002 	21.239	0.006
226.558500	1.649260 	1688 	18   	22.866	0.009 	22.310	0.004 	22.011	0.011
226.568460	1.658920 	1498 	31   	22.578	0.009 	22.090	0.004 	21.803	0.012
226.623150	1.600640 	1974 	19   	23.057	0.010 	99.99	99.99	22.170	0.010
226.640230	1.606370 	1722 	18   	23.825	0.020 	99.99	99.99	22.770	0.020
226.630150	1.605070 	1696 	34   	24.338	0.050 	99.99	99.99	23.160	0.050
226.645640	1.511700 	2020 	23   	23.931	0.024 	23.319	0.008 	22.916	0.030
226.597480	1.496750 	2055 	37   	23.460	0.022 	23.024	0.009 	22.700	0.028
226.602570	1.502390 	1849 	16   	22.989	0.016 	22.200	0.004 	21.694	0.014
226.646110	1.538940 	1812 	54   	23.269	0.017 	22.898	0.007 	22.547	0.021
226.647160	1.540620 	1743 	12   	23.633	0.027 	22.962	0.007 	22.559	0.020
226.590580	1.503720 	1698 	15   	23.432	0.014 	22.962	0.006 	22.599	0.020
226.615350	1.521190 	1562 	27   	24.136	0.050 	23.260	0.012 	22.693	0.029
226.651970	1.547870 	1865 	19   	23.856	0.022 	23.156	0.008 	22.774	0.024
226.639550	1.542420 	1666 	16   	23.263	0.015 	22.738	0.006 	22.464	0.018
226.648830	1.563190 	1258 	17   	23.071	0.013 	22.624	0.005 	22.258	0.016
226.596210	1.532900 	1534 	29   	23.573	0.019 	22.983	0.006 	22.716	0.023
226.614200	1.556410 	1728 	16   	23.351	0.017 	22.641	0.005 	22.236	0.017
226.581610	1.544080 	1667 	15   	23.268	0.016 	22.594	0.005 	22.240	0.017
226.602300	1.567580 	1445 	28   	23.808	0.033 	23.168	0.010 	22.825	0.032
226.600170	1.571480 	2004 	12   	23.243	0.018 	22.712	0.006 	22.463	0.022
226.593710	1.568970 	1680 	7    	21.992	0.007 	21.321	0.002 	20.992	0.007
226.598280	1.578100 	1736 	20   	23.399	0.024 	22.818	0.009 	22.497	0.027
226.585640	1.574990 	1878 	7    	21.715	0.004 	20.938	0.002 	20.544	0.005
226.600620	1.596620 	1845 	16   	23.233	0.032 	22.610	0.008 	22.477	0.035
226.598600	1.608410 	1627 	12   	22.940	0.016 	22.319	0.006 	22.157	0.026
226.604420	1.612880 	1262 	8    	22.291	0.011 	21.678	0.004 	21.367	0.014
226.596860	1.613990 	1875 	9    	22.986	0.018 	22.048	0.004 	21.614	0.014
226.599620	1.624450 	2002 	9    	22.322	0.012 	21.857	0.004 	21.746	0.016
226.596550	1.641480 	1992 	13   	23.370	0.018 	22.597	0.005 	22.175	0.017
226.617530	1.656460 	1487 	22   	23.424	0.019 	22.895	0.007 	22.574	0.023
226.621500	1.673360 	1570 	14   	23.836	0.021 	22.967	0.007 	22.458	0.017
226.583220	1.649150 	1614 	19   	24.216	0.040 	23.429	0.010 	23.056	0.033
226.607770	1.666870 	1761 	10   	22.193	0.006 	21.729	0.002 	21.468	0.008
226.588760	1.661940 	1653 	21   	23.410	0.015 	22.659	0.005 	22.214	0.014
226.615250	1.687340 	1746 	19   	23.561	0.022 	22.870	0.007 	22.491	0.020
226.635890	1.705140 	1922 	12   	23.052	0.012 	22.360	0.004 	21.992	0.012
226.580030	1.667820 	1610 	15   	23.096	0.014 	22.721	0.005 	22.384	0.020
226.601130	1.684510 	1941 	17   	23.083	0.011 	22.616	0.005 	22.375	0.018
226.623070	1.701990 	1805 	23   	23.602	0.032 	22.988	0.012 	22.561	0.023
226.634740	1.715180 	1806 	18   	23.373	0.015 	22.873	0.006 	22.573	0.021
226.633840	1.731680 	1494 	8    	21.562	0.003 	20.897	0.001 	20.572	0.003
226.583220	1.713120 	1600 	10   	24.027	0.025 	23.255	0.008 	22.906	0.028
226.626370	1.743550 	1512 	56   	23.072	0.011 	22.499	0.004 	22.309	0.016
226.585110	1.718440 	2198 	39   	23.861	0.024 	23.315	0.009 	22.902	0.030
226.599880	1.730730 	1829 	6    	21.739	0.004 	21.016	0.001 	20.606	0.004
226.564040	1.706740 	1334 	18   	23.542	0.017 	23.078	0.007 	22.750	0.025
226.596520	1.733610 	1765 	24   	23.170	0.013 	22.738	0.005 	22.473	0.020
226.597040	1.745330 	1576 	16   	22.836	0.010 	22.373	0.004 	22.049	0.012
226.613150	1.623730 	1738 	32   	25.056	0.040 	99.99	99.99	23.800	0.040
226.626320	1.595740 	1617 	25   	24.897	0.050 	99.99	99.99	23.730	0.050
226.618170	1.587230 	1495 	14   	23.969	0.020 	99.99	99.99	22.970	0.020
226.619960	1.589800 	1621 	20   	25.123	0.050 	99.99	99.99	23.900	0.050
226.656090	1.617410 	2061 	9    	22.636	0.012 	21.846	0.003 	21.429	0.011
226.658130	1.623040 	1678 	17   	23.071	0.019 	22.384	0.006 	22.061	0.019
226.599460	1.589950 	1374 	27   	23.602	0.031 	23.020	0.010 	22.939	0.043
226.614420	1.600720 	1905 	7    	21.838	0.024 	21.102	0.005 	20.845	0.030
226.612800	1.599790 	1803 	16   	22.891	0.045 	21.953	0.011 	22.021	0.057
226.606000	1.618560 	1717 	21   	23.552	0.036 	22.841	0.009 	22.650	0.039
226.592860	1.616680 	1655 	23   	23.421	0.030 	22.878	0.009 	22.734	0.036
226.584140	1.626010 	2261 	23   	22.711	0.010 	22.125	0.004 	21.879	0.012
226.549460	1.610960 	2050 	22   	23.384	0.014 	22.685	0.006 	22.351	0.018
226.565570	1.624920 	2088 	15   	23.184	0.012 	22.512	0.005 	22.153	0.014
226.554010	1.620380 	1828 	24   	24.015	0.028 	23.225	0.011 	22.927	0.031
226.544130	1.625700 	2061 	16   	23.391	0.017 	22.786	0.006 	22.488	0.019
226.512940	1.609300 	1867 	15   	23.300	0.015 	22.575	0.005 	22.103	0.017
226.568890	1.649210 	1509 	22   	24.014	0.028 	23.381	0.009 	22.998	0.029
226.566600	1.648040 	1572 	38   	24.527	0.049 	23.796	0.013 	23.447	0.043
226.497690	1.602600 	1851 	26   	23.665	0.018 	23.113	0.007 	22.871	0.024
226.510670	1.615160 	1516 	17   	23.911	0.024 	23.239	0.008 	22.756	0.022
226.465260	1.593000 	1991 	27   	23.522	0.019 	23.141	0.008 	22.909	0.026
226.493090	1.620560 	1328 	25   	23.554	0.016 	22.939	0.006 	22.641	0.021
226.537430	1.659090 	1728 	11   	22.885	0.009 	22.185	0.003 	21.702	0.008
226.422080	1.588300 	1466 	77   	23.517	0.025 	23.208	0.011 	22.850	0.032
226.496060	1.640490 	1767 	16   	24.159	0.040 	23.317	0.010 	22.786	0.024
226.483710	1.632210 	1410 	9    	22.149	0.005 	21.594	0.002 	21.359	0.007
226.476540	1.651700 	1928 	21   	23.062	0.010 	22.612	0.005 	22.424	0.018
226.397150	1.621070 	1506 	56   	22.913	0.013 	22.324	0.004 	21.987	0.015
226.410080	1.630380 	1944 	20   	22.657	0.008 	21.977	0.003 	21.551	0.008
226.628000	1.618100 	1432 	9    	23.418	0.020 	99.99	99.99	22.330	0.020
226.643250	1.622200 	1553 	19   	23.382	0.020 	99.99	99.99	22.630	0.020
226.691810	1.535130 	1268 	17   	22.253	0.005 	21.743	0.002 	21.417	0.006
226.689880	1.540930 	1839 	21   	23.068	0.010 	22.451	0.004 	22.057	0.013
226.672540	1.552730 	1444 	19   	22.980	0.009 	22.465	0.004 	22.037	0.011
226.672740	1.561520 	1727 	31   	23.222	0.020 	22.756	0.007 	22.344	0.022
226.623460	1.552070 	1646 	12   	22.395	0.007 	21.721	0.002 	21.369	0.007
226.623890	1.555160 	2328 	17   	22.020	0.005 	21.411	0.002 	21.068	0.005
226.647520	1.574250 	2051 	15   	22.847	0.011 	22.133	0.003 	21.678	0.010
226.663670	1.594280 	1407 	18   	22.725	0.010 	22.161	0.004 	21.876	0.013
226.676090	1.606120 	1892 	18   	23.354	0.024 	22.427	0.005 	21.820	0.013
226.653710	1.598690 	2180 	16   	23.779	0.042 	22.872	0.008 	22.495	0.028
226.657590	1.609140 	1908 	25   	23.069	0.018 	22.357	0.005 	21.981	0.017
226.656010	1.611280 	1728 	34   	23.622	0.032 	22.910	0.008 	22.591	0.028
226.597800	1.624710 	1775 	18   	23.491	0.032 	22.736	0.008 	22.475	0.028
226.630590	1.653670 	1899 	20   	22.979	0.013 	22.372	0.004 	22.146	0.015
226.608960	1.666900 	1625 	33   	24.264	0.038 	23.203	0.008 	22.665	0.022
226.596020	1.669730 	1427 	15   	22.614	0.009 	21.940	0.003 	21.566	0.008
226.611640	1.688370 	1128 	20   	22.732	0.009 	22.191	0.003 	21.895	0.011
226.585890	1.672690 	1860 	16   	22.569	0.008 	22.012	0.003 	21.759	0.010
226.539520	1.718760 	2111 	23   	22.521	0.007 	22.058	0.003 	21.779	0.010
226.617810	1.488680 	1581 	9    	21.551	0.004 	21.107	0.001 	20.842	0.005
226.631020	1.510600 	1502 	14   	21.879	0.004 	21.320	0.002 	21.027	0.005
226.639860	1.525730 	1716 	16   	22.726	0.008 	22.192	0.003 	21.807	0.010
226.632210	1.521660 	1801 	23   	22.661	0.007 	22.094	0.003 	21.764	0.010
226.657430	1.551910 	1856 	12   	22.699	0.008 	22.041	0.003 	21.680	0.009
226.634280	1.540050 	1652 	15   	22.481	0.009 	21.992	0.004 	21.580	0.010
226.596730	1.526610 	1717 	30   	24.047	0.026 	23.350	0.009 	22.929	0.026
226.605120	1.551380 	1764 	36   	23.487	0.018 	22.937	0.006 	22.630	0.021
226.618830	1.563820 	1839 	10   	22.340	0.007 	21.734	0.002 	21.392	0.008
226.611520	1.583390 	1668 	45   	23.167	0.023 	22.367	0.006 	22.077	0.020
226.593600	1.575840 	1532 	14   	23.682	0.031 	22.928	0.009 	22.486	0.026
226.572300	1.586440 	2301 	17   	23.076	0.015 	22.521	0.007 	22.127	0.023
226.561750	1.579090 	1728 	23   	23.525	0.019 	23.032	0.010 	22.597	0.033
226.555240	1.579780 	1312 	24   	23.229	0.020 	22.705	0.008 	22.419	0.030
226.543740	1.573130 	1373 	18   	23.032	0.009 	22.328	0.004 	21.957	0.011
226.579460	1.599090 	1921 	15   	22.444	0.008 	21.819	0.004 	21.607	0.010
226.538320	1.570820 	1586 	13   	22.261	0.005 	21.689	0.002 	21.376	0.008
226.551900	1.593740 	1791 	13   	22.948	0.013 	22.307	0.006 	22.004	0.017
226.565310	1.623960 	1647 	26   	23.168	0.013 	22.539	0.005 	22.260	0.017
226.495430	1.590700 	1828 	24   	23.337	0.013 	22.620	0.004 	22.229	0.013
226.510320	1.603460 	1451 	19   	23.665	0.018 	23.022	0.006 	22.696	0.022
226.510750	1.623180 	1931 	22   	22.482	0.007 	21.953	0.003 	21.711	0.009
226.464390	1.630020 	1609 	7    	21.526	0.003 	20.862	0.001 	20.516	0.003
226.588880	1.676930 	1906 	11   	23.098	0.012 	22.407	0.004 	22.028	0.012
226.583530	1.678660 	1679 	5    	21.602	0.003 	20.913	0.001 	20.548	0.003
226.630350	1.637130 	2179 	8    	22.307	0.009 	21.756	0.003 	21.467	0.010
