1 345.250875	+30.127806	 725	 9	1.03
2 345.255042	+30.139889	 741	 8	0.41
3 345.250417	+30.140500	 800	18	0.27
4 345.247208	+30.142361	 838	 6	0.20
5 345.252167	+30.148611	 719	25	0.25
6 345.223792	+30.127722	 782	20	1.70
7 345.222333	+30.145139	 766	21	1.42
8 345.223333	+30.155528	 927	10	1.51
9 345.251208	+30.159917	 931	 8	0.90
10 345.296292	+30.171250	 866	 5	2.89
11 345.278042	+30.120111	 726	11	2.09
12 345.246792	+30.148222	 881	 7	0.25
13 345.290708	+30.113778	 819	 6	2.83
14 345.251208	+30.146250	 776	12	0.11
15 345.267167	+30.133472	 766	 4	1.14
16 345.220417	+30.167778	 951	18	2.05
17 345.268750	+30.147472	 750	 7	1.00
18 345.259750	+30.149333	 854	10	0.58
19 345.235917	+30.157361	 944	 8	1.03
20 345.252333	+30.148470	 769	22	0.25
21 345.243083	+30.157730	 908	11	0.84
22 345.265916	+30.135980	 810	12	1.00
23 345.274958	+30.121900	 776	13	1.90
24 345.245250	+30.148860	 873	18	0.33
25 345.258625	+30.124600	 725	21	1.30
26 345.205458	+30.123060	 865	17	2.65
27 345.229583	+30.172540	 868	35	1.96
28 345.208499	+30.148530	 918	41	2.15
29 345.262833	+30.139020	 768	20	0.77
30 345.246458	+30.155880	 943	11	0.68
31 345.255541	+30.155640	 910	14	0.71
32 345.255291	+30.131310	 749	30	0.87
33 345.225916	+30.156350	 969	21	1.41
34 345.223833	+30.131310	 823	25	1.57
35 345.233875	+30.156630	 946	24	1.08
36 345.251375	+30.159800	 927	 8	0.90
37 345.220833	+30.145580	 871	17	1.50
38 345.247375	+30.142450	 837	 7	0.19
39 345.253250	+30.146470	 814	 9	0.20
40 345.245541	+30.145610	 923	14	0.22
