# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  151.3295 -7.6411 143.95  250.8   428.84  512.0  0.56 0.0  0.0  0.72  -5.99  0.0   0.0   0.0   4.0   45.0 
  151.2846 -7.8151 -185.84 -305.4  -522.21 486.0  1.0  0.0  0.0  0.98  -7.14  0.0   0.0   0.0   4.0   46.0 
  151.2939 -7.6809 132.45  59.43   101.62  463.0  0.1  0.0  0.0  1.04  -5.44  0.0   0.0   0.0   1.0   47.0 
  151.3202 -7.6869 50.63   110.59  189.1   805.0  0.4  0.0  0.0  1.14  -5.99  0.0   0.0   0.0   2.0   48.0 
  151.3226 -7.6862 46.33   118.5   202.62  809.0  0.39 0.0  0.0  0.84  -6.0   0.0   0.0   0.0   2.0   49.0 
  151.2966 -7.6603 178.06  118.7   202.96  547.0  0.62 0.0  0.0  1.09  -5.24  0.0   0.0   0.0   2.0   50.0 
  151.316  -7.704  17.87   56.64   96.86   821.0  0.73 0.0  0.0  1.21  -6.31  0.0   0.0   0.0   1.0   51.0 
  151.3347 -7.6783 36.19   169.14  289.22  879.0  0.49 0.0  0.0  0.87  -8.49  0.0   0.0   0.0   3.0   52.0 
  151.3044 -7.8061 -212.8  -232.87 -398.19 696.0  0.97 0.01 0.0  1.08  -4.47  0.0   0.0   0.0   4.0   53.0 
  151.2706 -7.6858 178.75  -11.63  -19.89  795.0  1.0  0.0  0.0  0.73  -5.93  0.0   0.0   0.0   1.0   54.0 
  151.2465 -7.7919 -30.51  -342.43 -585.53 651.0  0.63 0.01 0.01 1.08  -4.21  0.0   0.0   0.0   4.0   55.0 
  151.3813 -7.7508 -265.87 102.01  174.43  642.0  1.0  0.01 0.0  1.05  -4.38  0.0   0.0   0.0   3.0   56.0 
  151.2224 -7.7723 80.09   -353.47 -604.4  684.0  0.79 0.01 0.0  1.06  -4.38  0.0   0.0   0.0   4.0   57.0 
  151.2744 -7.7311 53.73   -117.32 -200.6  893.0  0.16 0.0  0.0  1.02  -7.69  0.0   0.0   0.0   2.0   58.0 
  151.2971 -7.7059 60.71   4.01    6.85    740.0  1.0  0.0  0.0  0.8   -5.93  0.0   0.0   0.0   1.0   59.0 
  151.2562 -7.7423 71.27   -191.68 -327.76 711.0  0.83 0.01 0.0  0.74  -5.06  0.0   0.0   0.0   4.0   60.0 
  151.2767 -7.7227 69.23   -90.15  -154.14 480.0  0.08 0.0  0.0  1.13  -5.57  0.0   0.0   0.0   2.0   61.0 
  151.3192 -7.6882 49.99   104.66  178.96  771.0  0.48 0.0  0.0  0.73  -5.48  0.0   0.0   0.0   2.0   62.0 
  151.3546 -7.7157 -109.21 123.99  212.01  1056.0 0.0  0.0  0.0  0.69  -8.69  0.0   0.0   0.0   2.0   63.0 
  151.3399 -7.6772 25.76   184.98  316.31  887.0  1.0  0.0  0.0  1.31  -9.36  0.0   0.0   0.0   4.0   64.0 
  151.3595 -7.7315 -161.78 96.41   164.86  592.0  0.92 0.01 0.0  0.78  -5.09  0.0   0.0   0.0   2.0   65.0 
  151.3231 -7.7312 -69.16  5.31    9.08    782.0  0.25 0.0  0.0  0.87  -5.1   0.0   0.0   0.0   1.0   66.0 
  151.3406 -7.658  72.97   235.61  402.87  773.0  0.99 0.0  0.0  0.67  -5.94  0.0   0.0   0.0   4.0   67.0 
  151.2387 -7.7484 99.86   -251.39 -429.86 601.0  0.43 0.01 0.01 0.83  -4.27  0.0   0.0   0.0   4.0   68.0 
  151.2897 -7.8129 -192.86 -287.03 -490.8  658.0  0.98 0.01 0.0  0.75  -4.4   0.0   0.0   0.0   4.0   69.0 
  151.2679 -7.7627 -10.17  -214.18 -366.22 471.0  1.0  0.0  0.0  1.19  -8.14  0.0   0.0   0.0   4.0   70.0 
  151.2895 -7.7461 -22.52  -117.29 -200.56 471.0  0.25 0.0  0.0  0.77  -6.67  0.0   0.0   0.0   2.0   71.0 
  151.264  -7.7752 -32.42  -255.91 -437.58 396.0  1.0  0.0  0.0  0.83  -11.04 0.0   0.0   0.0   4.0   72.0 
  151.2808 -7.7281 45.3    -93.56  -159.98 597.0  0.43 0.0  0.0  1.14  -4.78  0.0   0.0   0.0   2.0   73.0 
  151.3234 -7.6867 43.38   119.26  203.92  856.0  0.25 0.0  0.0  0.98  -6.83  0.0   0.0   0.0   2.0   74.0 
  151.3457 -7.6672 36.47   225.19  385.06  869.0  1.0  0.0  0.0  0.74  -8.63  0.0   0.0   0.0   4.0   75.0 
  151.3691 -7.7157 -145.99 160.62  274.64  636.0  0.77 0.01 0.0  1.07  -4.53  0.0   0.0   0.0   3.0   76.0 
  151.3441 -7.7098 -67.61  112.62  192.57  1192.0 0.0  0.0  0.0  0.97  -12.71 0.0   0.0   0.0   2.0   77.0 
  151.3397 -7.6944 -17.5   140.72  240.61  706.0  0.5  0.01 0.01 0.94  -4.48  0.0   0.0   0.0   3.0   78.0 
  151.3404 -7.6926 -14.69  147.2   251.71  579.0  0.52 0.0  0.0  0.74  -4.98  0.0   0.0   0.0   3.0   79.0 
  151.2828 -7.7315 31.65   -97.39  -166.52 803.0  0.42 0.0  0.0  0.8   -5.86  0.0   0.0   0.0   2.0   80.0 
  151.3361 -7.6242 170.21  310.5   530.94  983.0  1.0  0.0  0.0  0.75  -13.31 0.0   0.0   0.0   4.0   81.0 
  151.3085 -7.7389 -52.06  -51.4   -87.9   601.0  0.6  0.0  0.0  1.05  -5.2   0.0   0.0   0.0   1.0   82.0 
  151.3106 -7.7047 29.63   41.09   70.25   586.0  0.4  0.0  0.01 1.13  -4.65  0.0   0.0   0.0   1.0   83.0 
  151.2976 -7.7335 -10.74  -65.1   -111.31 628.0  0.63 0.01 0.0  0.98  -4.57  0.0   0.0   0.0   1.0   84.0 
  151.367  -7.7907 -331.44 -35.38  -60.49  593.0  1.0  0.01 0.0  0.86  -4.77  0.0   0.0   0.0   2.0   85.0 
  151.3628 -7.6747 -25.59  249.24  426.18  899.0  1.0  0.0  0.0  0.98  -9.71  0.0   0.0   0.0   4.0   86.0 
