09h11m49.342s   60d01m38.980s   1435.8    22.4   158.7    20.1   -0.12    0.04   -0.03    0.05
09h11m48.534s   60d02m05.280s   1479.5    14.5   154.8    12.3   -0.13    0.04   -0.07    0.05
09h11m48.180s   60d02m46.950s   1451.1    21.6   172.5    19.2    0.03    0.04    0.03    0.05
09h11m46.500s   60d01m52.470s   1449.2    13.2   154.1    11.1   -0.07    0.04   -0.04    0.05
09h11m44.879s   60d02m19.450s   1459.5     8.2   165.0     6.8   -0.05    0.04   -0.06    0.05
09h11m17.066s   60d03m14.920s   1191.3    46.0    93.1    50.2    0.02    0.04   -0.01    0.05
09h11m14.309s   60d02m18.900s   1210.3    35.6   195.9    35.5    0.07    0.04    0.03    0.05
09h11m12.873s   60d02m39.490s   1132.1    39.5    71.4    40.7    0.05    0.04    0.04    0.05
09h11m10.340s   60d01m53.130s   1183.1    46.3   134.8    50.7   -0.02    0.04    0.01    0.05
09h11m06.573s   60d02m29.590s   1123.2    48.7    35.0    54.3    0.01    0.04    0.00    0.05
