09h11m28.703s	+60d02m48.06s	92.5
09h11m39.886s	+60d01m37.87s	81.5
09h11m20.931s	+60d02m07.85s	126.4
09h11m23.223s	+60d02m24.78s	106.9
09h11m33.407s	+60d02m16.73s	29.9
09h11m25.877s	+60d03m16.79s	152.8
09h11m24.979s	+60d01m32.49s	137.4
09h11m22.204s	+60d02m08.74s	116.5
09h11m28.835s	+60d01m58.20s	77.1
09h11m30.367s	+60d02m41.56s	74.4
09h11m19.758s	+60d01m45.71s	152.5
09h11m21.916s	+60d00m13.79s	297.6
09h11m38.854s	+60d02m07.47s	19.2
09h11m36.253s	+60d01m59.28s	36.3
09h11m37.409s	+60d01m32.92s	91.8
09h11m35.694s	+60d02m12.86s	14.2
09h11m19.269s	+60d03m04.43s	165.7
09h11m41.096s	+60d01m58.14s	44.3
09h11m24.573s	+59d59m56.42s	324.5
09h11m34.314s	+60d01m54.53s	52.3
09h11m39.822s	+60d02m19.25s	21.0
09h11m31.048s	+60d02m31.14s	56.5
09h11m36.752s	+60d01m38.21s	80.9
09h11m19.078s	+60d01m59.02s	145.3
09h12m10.561s	+60d01m39.79s	254.6
09h12m02.699s	+59d59m31.30s	388.4
09h11m59.927s	+60d02m23.17s	172.0
09h11m59.744s	+60d01m04.39s	217.6
09h11m57.921s	+60d01m54.50s	157.0
09h11m57.142s	+60d02m35.58s	158.9
09h11m56.449s	+60d02m48.83s	166.7
09h11m53.358s	+60d02m10.14s	119.7
09h11m53.195s	+60d01m00.13s	193.0
09h11m51.588s	+60d01m40.84s	124.7
09h11m50.723s	+60d02m07.76s	100.2
09h11m49.342s	+60d01m38.98s	114.1
09h11m48.534s	+60d02m05.28s	84.7
09h11m48.180s	+60d02m46.95s	111.1
09h11m46.500s	+60d01m52.47s	80.8
09h11m44.879s	+60d02m19.45s	57.9
09h11m17.066s	+60d03m14.92s	191.6
09h11m14.309s	+60d02m18.90s	173.3
09h11m13.660s	+60d00m43.19s	279.7
09h11m12.873s	+60d02m39.49s	187.5
09h11m11.932s	+60d00m52.67s	273.9
09h11m11.256s	+60d02m01.23s	201.8
09h11m10.340s	+60d01m53.13s	213.4
09h11m01.815s	+60d00m38.63s	354.6
09h11m00.672s	+60d01m46.55s	288.8
09h12m03.148s	+60d01m07.31s	232.9
09h10m56.037s	+60d03m10.99s	323.9
09h11m28.703s	+60d02m48.06s	92.5
09h11m39.886s	+60d01m37.87s	81.5
09h11m20.931s	+60d02m07.85s	126.4
09h11m23.223s	+60d02m24.78s	106.9
09h11m33.407s	+60d02m16.73s	29.9
09h11m25.877s	+60d03m16.79s	152.8
09h11m24.979s	+60d01m32.49s	137.4
09h11m22.204s	+60d02m08.74s	116.5
09h11m28.835s	+60d01m58.20s	77.1
09h11m30.367s	+60d02m41.56s	74.4
09h11m19.758s	+60d01m45.71s	152.5
09h11m38.854s	+60d02m07.47s	19.2
09h11m36.253s	+60d01m59.28s	36.3
09h11m37.409s	+60d01m32.92s	91.8
09h11m35.694s	+60d02m12.86s	14.2
09h11m19.269s	+60d03m04.43s	165.7
09h11m41.096s	+60d01m58.14s	44.3
09h11m34.314s	+60d01m54.53s	52.3
09h11m39.822s	+60d02m19.25s	21.0
09h11m31.048s	+60d02m31.14s	56.5
09h11m36.752s	+60d01m38.21s	80.9
09h11m19.078s	+60d01m59.02s	145.3
09h11m59.927s	+60d02m23.17s	172.0
09h11m59.744s	+60d01m04.39s	217.6
09h11m57.921s	+60d01m54.50s	157.0
09h11m57.142s	+60d02m35.58s	158.9
09h11m56.449s	+60d02m48.83s	166.7
09h11m53.358s	+60d02m10.14s	119.7
09h11m53.195s	+60d01m00.13s	193.0
09h11m51.588s	+60d01m40.84s	124.7
09h11m50.723s	+60d02m07.76s	100.2
09h11m49.342s	+60d01m38.98s	114.1
09h11m48.534s	+60d02m05.28s	84.7
09h11m48.180s	+60d02m46.95s	111.1
09h11m46.500s	+60d01m52.47s	80.8
09h11m44.879s	+60d02m19.45s	57.9
09h11m17.066s	+60d03m14.92s	191.6
09h11m14.309s	+60d02m18.90s	173.3
09h11m12.873s	+60d02m39.49s	187.5
09h11m11.256s	+60d02m01.23s	201.8
09h11m10.340s	+60d01m53.13s	213.4
09h11m05.861s	+60d02m33.21s	237.2
09h12m35.618s	+59d58m53.58s	591.3
09h11m06.573s	+60d02m29.59s	231.4
09h10m56.037s	+60d03m10.99s	323.9
09h11m31.966s	+60d01m38.66s	92.4
09h11m28.467s	+60d02m51.46s	98.9
09h11m35.293s	+60d02m03.77s	30.6
09h11m38.698s	+60d02m57.40s	93.1
09h11m25.602s	+60d01m31.53s	135.6
09h11m32.622s	+60d03m11.46s	124.3
09h11m39.464s	+60d01m47.13s	61.5
09h11m33.276s	+60d01m18.27s	130.1
09h11m37.061s	+60d01m52.67s	49.2
09h11m40.642s	+60d02m09.32s	26.5
09h11m35.163s	+60d03m04.31s	106.5
09h11m30.339s	+60d01m11.08s	153.4
09h11m35.188s	+60d02m16.80s	16.7
09h11m36.263s	+60d02m33.27s	39.4
09h11m36.492s	+60d02m45.93s	66.5
09h11m28.833s	+60d01m58.16s	77.2
09h11m23.563s	+60d02m23.41s	104.1
09h11m51.197s	+60d01m24.50s	144.5
09h11m50.773s	+60d02m39.11s	117.4
09h11m48.366s	+60d03m22.15s	173.5
09h11m48.434s	+60d06m57.22s	625.4
09h11m47.948s	+60d00m43.29s	208.1
09h11m46.978s	+60d03m32.05s	187.7
09h11m41.350s	+59d59m59.26s	294.0
09h11m38.908s	+59d59m13.61s	393.5
09h11m38.953s	+60d04m21.25s	275.1
09h11m34.378s	+60d04m34.25s	300.8
09h11m41.428s	+60d07m25.39s	677.0
09h11m26.564s	+60d12m28.29s	326.6
