# col1   col2         col3        col4     B           V       
  1      226.523708   55.702778   794.0    23.664      22.91   
  1      226.809875   55.906528   9999.0   22.556      21.805  
  1      226.510375   55.611889   708.0    24.313      23.562  
  1      226.765708   55.798278   9999.0   23.525      22.775  
  1      226.651      55.800528   678.0    23.197      22.455  
  1      226.722167   55.71825    9999.0   22.599      21.857  
  1      226.65321    55.78378    9999.0   23.9        23.16   
  1      226.61233    55.77119    505.0    24.32       23.58   
  1      226.621792   55.652167   9999.0   23.685      22.945  
  1      226.390375   55.86225    899.0    22.169      21.433  
  1      226.754292   55.748861   9999.0   23.275      22.539  
  1      226.712417   55.764      9999.0   23.048      22.315  
  1      226.67392    55.75115    9999.0   25.869999   25.14   
  1      226.62229    55.77296    9999.0   23.47       22.74   
  1      226.65179    55.78693    9999.0   23.869999   23.14   
  1      226.67737    55.75489    9999.0   23.22       22.49   
  1      226.42975    55.867611   9999.0   21.577      20.848  
  1      226.563292   55.640222   9999.0   23.576      22.85   
  1      226.452667   55.741389   9999.0   22.685      21.959  
  1      226.893958   55.941389   957.0    22.723      21.998  
  1      226.654458   55.71325    773.0    22.715      21.991  
  1      226.932917   55.615306   9999.0   22.065      21.343  
  1      226.525      55.879944   9999.0   21.869001   21.148  
  1      226.61962    55.77651    9999.0   23.98       23.26   
  1      226.63558    55.76536    9999.0   21.58       20.86   
  1      226.64146    55.75735    9999.0   22.55       21.83   
  1      226.545125   55.80675    9999.0   23.615      22.896  
  1      226.703375   55.591278   9999.0   22.678      21.962  
  1      226.843625   55.944333   9999.0   22.041      21.326  
  1      226.61925    55.667556   9999.0   19.824      19.109  
  1      226.669833   55.637861   9999.0   22.163      21.448  
  1      226.536333   55.901806   9999.0   19.829      19.115  
  1      226.818667   55.651361   649.0    23.348      22.638  
  1      226.64496    55.74918    562.0    22.65       21.94   
  1      226.65025    55.75442    9999.0   24.109999   23.4    
  1      226.59708    55.78253    9999.0   22.56       21.85   
  1      226.595833   55.94875    9999.0   22.572      21.864  
  1      226.873083   55.612806   575.0    23.498001   22.79   
  1      226.390708   55.838472   9999.0   21.346      20.639  
  1      226.688167   55.668028   9999.0   20.778      20.074  
  1      226.466625   55.890444   9999.0   22.782999   22.081  
  1      226.62721    55.77582    9999.0   24.710001   24.01   
  1      226.825625   55.71625    9999.0   22.472      21.772  
  1      226.65296    55.77357    9999.0   24.95       24.25   
  1      226.9235     55.699667   9999.0   23.252      22.558  
  1      226.396583   55.90775    364.0    23.693      23.0    
  1      226.655917   55.579806   9999.0   22.004      21.314  
  1      226.61079    55.75146    869.0    22.300001   21.61   
  1      226.63746    55.77206    9999.0   23.79       23.1    
  1      226.578375   55.847806   9999.0   22.488      21.798  
  1      226.781042   55.757556   9999.0   23.203      22.515  
  1      226.861333   55.672583   661.0    22.36       21.673  
  1      226.806417   55.924528   9999.0   22.645      21.962  
  1      226.929875   55.742333   796.0    19.611      18.928  
  1      226.840542   55.807389   9999.0   23.465      22.783  
  1      226.817708   55.574889   9999.0   23.126999   22.446  
  1      226.77325    55.716056   9999.0   23.787      23.106  
  1      226.60717    55.75594    539.0    22.82       22.14   
  1      226.62979    55.75611    9999.0   23.970001   23.29   
  1      226.663583   55.631722   980.0    22.264      21.589  
  1      226.767292   55.746361   407.0    22.988      22.316  
  1      226.914083   55.734417   9999.0   23.495      22.823  
