0.4	32.46  7.26	
0.8	16.55  3.38	
1.2	6.81   1.76	
1.6	3.90   1.30	
2.0	1.88   1.33	
2.6	1.42   0.41	
4.9	0.66   0.20	
7.3	0.23   0.14	
9.8	0.13   0.12	
12.3	0.08   0.11	
14.8	0.06   0.11	
17.2	0.09   0.11	
#19.7	-0.10   0.11	
