 15 06 31.30  55 44 22.0     27.9  
 15 06 39.10  55 46 15.7     28.1  
 15 06 37.30  55 45 56.7     29.0  
 15 06 32.10  55 46 26.1     27.5  
 15 06 31.00  55 47 43.8     27.5  
 15 06 27.50  55 46 46.4     26.6  
 15 06 31.10  55 46 48.6     26.4  
 15 06 35.60  55 45 43.5     27.1  
 15 06 35.90  55 45 23.7     27.3  
 15 06 36.20  55 45 31.4     27.0  
 15 06 31.80  55 46 40.8     25.9  
 15 06 27.70  55 46 34.2     9999
 15 06 27.30  55 46 28.0     28.1  
 15 06 26.20  55 46 46.6     27.3  
 15 06 15.80  55 47 33.0     28.8  
 15 06 15.20  55 47 49.4     28.2  
 15 06 14.20  55 47 40.6     27.7  
 15 06 12.30  55 46 58.8     28.1  
 15 06 19.50  55 46 16.2     28.2  
 15 06 25.80  55 46 51.6     29.5  
 15 06 25.00  55 46 42.5     27.7  
 15 06 19.70  55 48 18.3     28.0  
 15 06 16.10  55 45 42.5     28.3  
 15 06 16.00  55 45 38.7     28.1  
 15 06 00.60  55 45 15.4     27.7  
 15 06 02.50  55 49 40.6     26.9  
 15 06 51.20  55 44 18.2     28.1  
 15 06 42.80  55 44 37.9     28.1  
 15 06 15.20  55 46 48.9     28.1  
 15 06 29.40  55 48 21.8     29.5  
 15 06 41.90  55 44 48.1     27.8

