 137.8859  60.0532    15.30   -66.35  1020.00     0.83     0.85     0.50     5.00     2.00    73.00
 137.8459  59.9964  -180.88    26.10  1072.00     1.00     0.99     0.63     5.00     2.00    84.00
 137.8388  60.0006  -178.97     6.25  1442.00     1.00     1.00     0.33     0.00     2.00   106.00
 137.7997  60.0146  -192.42   -79.26  1309.00     0.97     1.00     0.59     0.00     3.00     1.00
 137.8468  60.0402   -67.44   -83.70  1014.00     0.33     0.98     0.44     5.00     3.00     2.00
 137.9498  60.0120    -9.62   119.45  1088.00     0.96     1.00     0.36     5.00     3.00     3.00
 137.8677  59.9830  -187.81    87.79  1189.00     1.00     1.00     0.25     0.00     3.00     4.00
 137.8295  60.0331  -107.54   -87.71  1266.00     0.47     0.27     0.69     0.00     3.00     5.00
 137.8473  60.0664     0.29  -149.07  1260.00     0.98     0.98     0.45     0.00     3.00     6.00
 137.7931  60.0314  -157.73  -130.19  1303.00     0.65     0.61     0.61     0.00     3.00     7.00
 137.6984  60.0499  -229.97  -298.00  1379.00     0.92     0.96     0.47     0.00     3.00     8.00
 137.9881  60.0432   118.69    89.63  1371.00     0.55     0.76     0.67     0.00     3.00     9.00
 137.7608  60.0011  -276.33   -94.85  1308.00     1.00     1.00     0.58     0.00     3.00    10.00
 137.9121  59.9871  -121.06   134.17  1566.00     1.00     1.00     0.35     0.00     3.00    11.00
 137.9032  60.0711    83.13   -89.64  1194.00     0.99     1.00     0.64     0.00     3.00    12.00
 138.0192  60.1040   313.76   -24.19  1607.00     1.00     1.00     0.29     5.00     3.00    13.00
 137.9544  60.1015   225.47  -100.76  1283.00     1.00     1.00     0.49     0.00     3.00    18.00
 137.7829  60.0276  -180.41  -133.51  1198.00     0.80     0.47     0.49     0.00     3.00    19.00
 137.7746  59.9978  -267.31   -68.95  1444.00     1.00     1.00     0.61     0.00     3.00    20.00
 137.8305  60.0284  -118.12   -74.78  1282.00     0.64     0.60     0.80     0.00     3.00    24.00
 138.0304  59.9603   -40.39   353.32  1486.00     1.00     1.00     0.54     0.00     3.00    26.00
 137.9894  59.9666   -76.15   285.06  1493.00     1.00     1.00     0.42     0.00     3.00    27.00
 137.9552  60.0253    31.38    92.70  1300.00     0.62     0.70     0.44     0.00     3.00    28.00
 137.7978  60.0927     5.19  -279.03  1335.00     1.00     1.00     0.64     0.00     3.00    30.00
 137.7113  60.0758  -147.14  -347.22  1201.00     1.00     1.00     0.61     0.00     3.00    31.00
 137.8468  60.0503   -41.39  -109.22  1392.00     0.63     0.67     0.35     0.00     3.00    37.00
 137.7762  60.0455  -142.88  -187.54  1324.00     0.61     0.52     0.56     0.00     3.00    40.00
 137.7544  60.0405  -183.23  -202.71  1189.00     0.69     0.48     0.65     0.00     3.00    41.00
 137.6008  60.0311  -401.33  -375.55  1386.00     0.50     0.89     0.52     0.00     3.00    42.00
 137.8578  60.0547   -16.45  -106.06  1407.00     0.81     0.81     0.28     0.00     3.00    48.00
 137.8303  60.0512   -59.99  -132.66  1428.00     0.64     0.86     0.54     0.00     3.00    51.00
 138.0440  60.0277   149.54   200.37  1444.00     0.67     0.44     0.37     0.00     3.00    53.00
 138.0113  59.9920    16.75   248.65  1469.00     1.00     1.00     0.73     0.00     3.00    54.00
 137.9990  60.0179    67.48   167.54  1356.00     0.83     0.77     0.51     0.00     3.00    55.00
 137.9913  60.0318    93.53   122.65  1330.00     0.41     0.60     0.38     0.00     3.00    56.00
 137.9852  60.0469   124.46    76.65  1419.00     0.67     0.68     0.74     0.00     3.00    57.00
 137.9723  60.0361    80.67    87.30  1191.00     0.35     1.00     0.81     0.00     3.00    58.00
 137.9556  60.0275    37.37    87.79  1231.00     0.53     0.94     0.47     0.00     3.00    60.00
 137.8211  60.0541   -64.13  -151.75  1067.00     0.75     1.00     0.65     5.00     3.00    64.00
 137.8096  60.0386  -118.50  -127.14  1153.00     0.43     0.31     0.94     0.00     3.00    65.00
 137.7969  60.0337  -147.15  -130.97  1328.00     0.57     0.65     0.60     0.00     3.00    66.00
 137.7576  60.0107  -255.61  -123.38  1370.00     0.99     1.00     0.36     0.00     3.00    67.00
 137.7528  60.0296  -213.25  -177.15  1493.00     0.84     1.00     0.69     0.00     3.00    68.00
 137.7849  60.0487  -123.68  -184.39  1185.00     0.63     0.54     0.40     0.00     3.00    69.00
 137.9266  60.1673   359.11  -302.66  1334.00     0.50     0.88     0.55     0.00     3.00    79.00
 137.9223  59.9998   -75.71   115.14  1353.00     1.00     1.00     0.78     0.00     3.00    80.00
 137.8682  59.9916  -164.95    66.55  1387.00     1.00     1.00     0.57     0.00     3.00    81.00
 137.8556  59.9717  -231.97   100.94  1281.00     1.00     1.00     0.48     0.00     3.00    82.00
 137.8531  59.9938  -178.38    41.80  1393.00     1.00     1.00     0.30     0.00     3.00    83.00
