1  226.682364 55.765074 908 22     2.01
2  226.677262 55.754803 674 14     1.9 
3  226.644844 55.749102 756 16     1.12
4  226.640015 55.757062 877 26     0.69
5  226.636025 55.751095 854 12     0.85
6  226.635505 55.765282 397 10     0.44
7  226.631514 55.760208 754 46     0.34
8  226.61676  55.756633 659 10     0.45
9  226.615639 55.774013 840 11     0.69
10 226.610369 55.76453  542 13     0.43
11 226.61011  55.784406 876 45     1.34
12 226.594948 55.783584 689 18     1.54
13 226.596984 55.782448 412 15     1.45
14 226.581821 55.753688 699 41     1.50 
15 226.587626 55.769946 758 24     1.26
16 226.682131 55.706306 644 18     3.96
17 226.654464 55.71325  669 11     3.18
18 226.749339 55.715944 857 31     5.12
19 226.722172 55.71825  728 19     4.30 
20 226.712422 55.764    741 25     3.02
21 226.61125  55.74575  741 9      1.12
22 226.61104  55.75153  709 25     0.81
23 226.58079  55.76344  851 25     1.42
24 226.58108  55.77269  732 6      1.52
25 226.62712  55.75181  775 8      0.70 
