# col1   RA                   DEC                  col4  
  1      39.983               39.05922222222223    730   
  1      39.98916666666667    39.053916666666666   772   
  1      39.99683333333333    39.074527777777774   446   
  1      40.005624999999995   39.07516666666667    639   
  1      40.007125            39.04880555555555    510   
  1      40.010625            39.071527777777774   397   
  1      40.01083333333334    39.065555555555555   675   
  1      40.016375000000004   39.097055555555556   473   
  1      40.02554166666666    39.06077777777778    550   
  1      40.027               39.04888888888889    453   
  1      40.027208333333334   39.073388888888886   740   
  1      40.02854166666667    39.026361111111115   767   
  1      40.02912500000001    39.06791666666667    410   
  1      40.02916666666667    39.021583333333325   408   
  1      40.02954166666667    39.065916666666666   701   
  1      40.03004166666666    39.0445              446   
  1      40.031083333333335   39.034666666666666   790   
  1      40.03491666666667    39.05938888888889    456   
  1      40.035250000000005   39.06194444444444    548   
  1      40.040333333333336   39.047277777777786   379   
  1      40.040708333333335   39.05283333333333    385   
  1      40.040875            39.05386111111111    447   
  1      40.042625            39.06022222222222    733   
  1      40.04545833333333    39.074888888888886   372   
  1      40.046125            39.06480555555556    489   
  1      40.04629166666666    39.040416666666665   600   
  1      40.04749999999999    39.03994444444444    587   
  1      40.0485              39.08072222222222    511   
  1      40.04933333333333    39.063722222222225   465   
  1      40.050666666666665   39.05911111111111    490   
  1      40.05133333333333    39.062222222222225   350   
  1      40.05325             39.051833333333335   511   
  1      40.05370833333334    39.05208333333334    523   
  1      40.05620833333334    39.07505555555556    471   
  1      40.05633333333334    39.06627777777778    447   
  1      40.05745833333333    39.057916666666664   390   
  1      40.05883333333334    39.095888888888894   566   
  1      40.05937499999999    39.05452777777778    305   
  1      40.06070833333334    39.07666666666667    479   
  1      40.060875            39.055055555555555   357   
  1      40.061041666666675   39.06513888888889    371   
  1      40.061875            39.05097222222222    441   
  1      40.062083333333334   39.07111111111111    898   
  1      40.062374999999996   39.05458333333333    449   
  1      40.062958333333334   39.0625              516   
  1      40.062958333333334   39.075222222222216   560   
  1      40.06354166666667    39.05252777777777    372   
  1      40.063875            39.04861111111112    346   
  1      40.06679166666667    39.05016666666667    486   
  1      40.067375000000006   39.05216666666666    545   
  1      40.06795833333333    39.073               440   
  1      40.068041666666666   39.04855555555555    581   
  1      40.068125            39.04411111111111    775   
  1      40.068374999999996   39.035               381   
  1      40.06870833333333    39.08258333333333    474   
  1      40.06916666666666    39.055305555555556   460   
  1      40.070249999999994   39.03872222222222    570   
  1      40.07104166666666    39.017305555555545   591   
  1      40.071541666666675   39.05008333333333    467   
  1      40.07208333333334    39.06750000000001    389   
  1      40.07233333333333    39.069722222222225   540   
  1      40.07316666666667    39.063138888888886   635   
  1      40.07316666666667    39.06927777777778    338   
  1      40.07479166666667    39.06944444444444    495   
  1      40.07537500000001    39.08061111111111    466   
  1      40.07575             39.06538888888888    376   
  1      40.07579166666666    39.061749999999996   386   
  1      40.07629166666667    39.07052777777778    348   
  1      40.076458333333335   39.06630555555556    461   
  1      40.076750000000004   39.057916666666664   334   
  1      40.080083333333334   39.099805555555555   898   
  1      40.08045833333334    39.047694444444446   494   
  1      40.08079166666666    39.0645              366   
  1      40.08416666666666    39.05455555555556    427   
  1      40.08479166666667    39.08361111111111    485   
  1      40.08495833333333    39.06691666666666    561   
  1      40.085               39.05422222222222    444   
  1      40.087375            39.063861111111116   442   
  1      40.08795833333333    39.06319444444444    442   
  1      40.088               39.069916666666664   543   
  1      40.088416666666674   39.05230555555555    535   
  1      40.090875            39.019888888888886   787   
  1      40.09104166666667    39.085861111111114   619   
  1      40.091458333333335   39.09052777777778    603   
  1      40.092749999999995   39.042138888888886   606   
  1      40.09279166666667    39.03438888888889    661   
  1      40.09283333333333    39.047555555555554   537   
  1      40.092958333333335   39.07227777777778    592   
  1      40.092999999999996   39.07486111111112    586   
  1      40.094166666666666   39.07775             696   
  1      40.09433333333333    39.07052777777778    485   
  1      40.09608333333334    39.06922222222222    675   
