1 40.146050	 39.037040	 767	25	2.66
1 40.177970	 39.052470	 742	19	3.69
1 39.995810	 39.011810	 751	20	5.75
1 40.213010	 39.066240	 598	16	5.27
1 40.228050	 39.098530	 778	11	6.33
1 40.148190	 39.102130	 743	14	3.23
1 40.081470	 39.076890	 526	26	1.19
1 40.083310	 39.077200	 447	 9	1.14
1 40.136410	 39.092380	 532	 5	2.43
1 40.155240	 39.071660	 720	21	2.62
1 40.127380	 39.059400	 766	10	1.29
1 40.127520	 39.050360	 613	10	1.50
1 40.131370	 39.060510	 861	 8	1.47
1 40.131460	 39.056490	 714	12	1.52
1 40.131480	 39.065110	 345	11	1.47
1 40.132990	 39.048680	 715	20	1.77
1 40.154250	 39.064470	 755	 3	2.53
1 40.154310	 39.078260	 744	11	2.68
1 40.055710	 39.039850	 675	14	2.50
1 40.081070	 39.023820	 811	 8	2.53
1 40.101400	 39.073750	 690	10	0.63
1 40.103540	 39.058210	 570	 6	0.35
1 40.114240	 39.063350	 567	 5	0.66
1 40.177660	 39.083560	 706	 5	3.82
1 40.110320	 39.087540	 711	24	1.53
1 39.955566	 39.012066	 558	17	7.40
1 40.241921	 39.057297	 695	23	6.62
1 40.085820	 39.020740	 706	34	2.64
1 40.050770	 39.060760	 481	 9	2.30
1 40.051840	 39.064100	 417	12	2.25
1 40.062100	 39.052590	 484	20	1.88
1 40.064920	 39.057570	 401	26	1.67
1 40.069390	 39.060170	 528	13	1.44
1 40.081190	 39.070130	 539	15	0.97
1 40.140150	 39.069970	 849	15	1.91
1 40.083190	 39.061260	 472	 6	0.79
1 40.087000	 39.058330	 592	14	0.68
1 40.110280	 39.062680	 885	19	0.48
1 40.107310	 39.054190	 626	27	0.64
1 40.045590	 39.043820	 368	18	2.79
1 40.120620	 39.074090	 872	19	1.16
1 40.153983	 39.057836	 737	 8	2.53
1 40.153454	 39.051417	 735	13	2.59
1 40.157896	 39.058750	 739	10	2.71
1 40.161700	 39.054660	 727	 5	2.92
1 40.176800	 39.034090	 604	 6	3.98
1 40.088050	 39.015220	 665	17	2.94
1 40.039290	 39.057170	 478	15	2.85
1 40.042270	 39.060450	 826	39	2.70
1 40.044840	 39.062670	 563	 9	2.57
1 40.054130	 39.074940	 431	10	2.25
1 40.058980	 39.054360	 702	21	1.99
1 40.068100	 39.058030	 380	17	1.52
1 40.070130	 39.064480	 638	 5	1.40
1 39.973640	 39.041400	 545	13	6.03
1 40.201910	 39.074160	 537	10	4.79
1 40.238560	 39.086900	 504	13	6.61
1 40.061720	 39.092120	 684	 7	2.49
1 40.079280	 39.090970	 739	 8	1.92
1 40.085670	 39.082690	 420	 8	1.34
1 40.102570	 39.088900	 832	 6	1.54
1 40.102300	 39.042700	 869	 5	1.24
1 40.122970	 39.060700	 771	 8	1.08
1 40.123590	 39.034520	 551	10	2.05
1 40.124230	 39.057830	 893	17	1.17
1 40.132620	 39.045620	 677	 9	1.85
1 40.141430	 39.045220	 564	17	2.21
1 40.149470	 39.076730	 870	 6	2.44
1 40.077610	 39.048840	 483	35	1.36
1 40.088810	 39.040470	 699	14	1.47
1 40.093350	 39.038040	 668	 7	1.55
1 40.087580	 39.074170	 737	 6	0.87
1 40.100430	 39.078120	 590	12	0.89
1 40.112600	 39.064570	 683	13	0.59
1 40.102260	 39.051100	 465	20	0.74
1 40.103760	 39.049760	 703	 9	0.83
1 40.024090	 39.051630	 646	 7	3.61
1 40.036960	 39.043050	 713	11	3.18
1 40.166360	 39.093520	 781	14	3.58
1 40.184100	 39.082110	 766	 6	4.08
1 40.127310	 39.077680	 747	 9	1.54
1 40.130330	 39.059350	 323	 8	1.43
1 40.113340	 39.072870	 662	 8	0.85
1 40.056831	 39.110569	 892	 6	3.48
1 40.087799	 39.126644	 683	 8	3.84
1 40.256485	 39.076706	 549	12	7.33
1 40.114285	 39.118507	 764	 7	3.38
1 40.212242	 39.040630	 375	13	5.40
1 40.081341	 39.137505	 782	11	4.54
1 39.943123	 39.057114	 579	22	7.32
1 40.110996	 39.175587	 596	12	6.76
1 40.222916	 39.068741	 603	 8	5.73
1 39.978680	 39.088871	 719	10	5.86
1 40.217800	 39.049725	 715	13	5.55
1 40.004482	 39.090591	 586	13	4.74
1 40.190685	 39.046585	 742	19	4.34
1 40.056725	 39.072170	 462	17	2.09
1 40.074720	 39.053480	 432	14	1.32
1 40.085620	 39.045170	 509	20	1.28
1 40.135780	 39.054200	 745	12	1.75
1 40.089700	 39.071310	 479	19	0.68
1 40.091160	 39.065750	 474	25	0.44
1 40.101320	 39.074310	 527	 5	0.66
1 40.091700	 39.059020	 269	31	0.47
1 40.093250	 39.055570	 479	 6	0.56
1 40.124960	 39.068180	 835	13	1.20
1 40.079580	 39.060120	 381	12	0.97
1 40.115340	 39.069100	 764	10	0.79
1 40.044833	 39.063917	 436	32	2.57
1 40.124708	 39.053500	 774	19	1.29
1 40.152390	 39.031090	 742	12	3.11
1 40.154380	 39.041200	 685	 8	2.86
