117	02h40m27.01s	+39d03m46.0s 	740
118	02h40m27.08s	+39d04m12.6s 	767
119	02h40m27.12s	+39d03m51.0s 	854
120	02h40m27.33s	+39d04m01.5s 	724
121	02h40m27.35s	+39d04m08.4s 	801
122	02h40m27.48s	+39d04m35.5s 	736
123	02h40m27.51s	+39d04m39.0s 	794
124	02h40m27.52s	+39d03m10.9s 	625
125	02h40m27.60s	+39d04m15.5s 	846
126	02h40m28.11s	+39d04m06.0s 	802
127	02h40m28.18s	+39d02m03.1s 	410
128	02h40m28.65s	+39d03m54.8s 	773
129	02h40m28.77s	+39d03m47.1s 	684
130	02h40m28.87s	+39d04m00.2s 	846
131	02h40m29.07s	+39d03m22.5s 	859
132	02h40m29.20s	+39d04m35.7s 	762
133	02h40m29.31s	+39d03m42.2s 	726
134	02h40m29.38s	+39d04m17.0s 	725
135	02h40m29.39s	+39d04m21.9s 	859
136	02h40m29.43s	+39d03m28.4s 	745
137	02h40m29.49s	+39d03m05.4s 	765
138	02h40m29.53s	+39d04m45.7s 	683
139	02h40m29.65s	+39d03m58.8s 	649
140	02h40m29.72s	+39d02m23.8s 	741
141	02h40m30.06s	+39d04m00.0s 	833
142	02h40m30.25s	+39d03m51.4s 	835
143	02h40m30.44s	+39d04m03.8s 	661
144	02h40m30.58s	+39d05m54.7s 	450
145	02h40m30.60s	+39d03m39.0s 	855
146	02h40m30.74s	+39d03m20.3s 	812
147	02h40m31.08s	+39d04m38.2s 	868
148	02h40m31.29s	+39d03m27.2s 	809
149	02h40m31.76s	+39d03m34.2s 	766
150	02h40m31.77s	+39d03m41.1s 	874
151	02h40m32.48s	+39d03m54.6s 	772
152	02h40m32.77s	+39d04m11.8s 	856
153	02h40m32.85s	+39d04m49.2s 	745
154	02h40m33.21s	+39d03m37.7s 	776
155	02h40m33.30s	+39d03m29.8s 	780
156	02h40m33.35s	+39d03m47.0s 	823
157	02h40m33.39s	+39d03m10.6s 	786
158	02h40m33.68s	+39d04m46.5s 	728
159	02h40m33.68s	+39d03m24.7s 	765
160	02h40m33.76s	+39d03m10.5s 	810
161	02h40m34.04s	+39d04m35.2s 	618
162	02h40m34.40s	+39d02m37.0s 	755
163	02h40m34.50s	+39d04m02.9s 	813
164	02h40m34.68s	+39d03m57.4s 	832
165	02h40m34.83s	+39d03m43.4s 	812
166	02h40m35.53s	+39d03m12.3s 	745
167	02h40m35.70s	+39d03m45.2s 	753
168	02h40m35.74s	+39d03m26.3s 	830
169	02h40m35.76s	+39d03m32.8s 	777
170	02h40m36.76s	+39d03m14.6s 	723
171	02h40m36.83s	+39d03m46.9s 	767
172	02h40m36.86s	+39d02m52.3s 	741
173	02h40m37.07s	+39d03m03.6s 	771
174	02h40m37.44s	+39d03m23.7s 	732
175	02h40m37.55s	+39d03m43.2s 	722
176	02h40m37.79s	+39d03m41.8s 	828
177	02h40m37.87s	+39d02m25.6s 	750
178	02h40m38.01s	+39d03m01.5s 	744
179	02h40m38.13s	+39d03m35.5s 	808
180	02h40m38.16s	+39d04m14.2s 	748
181	02h40m38.79s	+39d03m34.8s 	848
182	02h40m39.41s	+39d04m49.7s 	750
183	02h40m39.91s	+39d04m12.1s 	822
184	02h40m40.04s	+39d03m45.9s 	736
185	02h40m40.24s	+39d05m29.0s 	716
186	02h40m40.52s	+39d07m01.3s 	664
187	02h40m40.71s	+39d03m50.4s 	781
188	02h40m40.74s	+39d05m51.1s 	769
189	02h40m40.78s	+39d04m38.4s 	787
190	02h40m40.85s	+39d06m33.6s 	700
191	02h40m41.09s	+39d04m21.1s 	419
192	02h40m41.41s	+39d05m17.1s 	717
193	02h40m41.67s	+39d08m17.0s 	610
194	02h40m41.89s	+39d01m28.3s 	757
195	02h40m42.40s	+39d03m43.5s 	748
196	02h40m42.54s	+39d04m25.3s 	813
197	02h40m43.07s	+39d02m38.0s 	741
198	02h40m43.09s	+39d04m04.8s 	658
199	02h40m44.40s	+39d03m43.5s 	785
200	02h40m44.73s	+39d02m07.0s	1703
201	02h40m44.77s	+39d04m07.6s 	545
202	02h40m46.40s	+39d01m03.4s 	452
203	02h40m47.71s	+39d06m05.1s 	804
204	02h40m48.98s	+39d03m58.8s 	734
