# col1   RA                   DEC                  col4  
  1      39.983               39.05922222222223    730   
  2      39.98916666666667    39.053916666666666   772   
  3      39.99683333333333    39.074527777777774   446   
  4      40.005624999999995   39.07516666666667    639   
  5      40.007125            39.04880555555555    510   
  6      40.010625            39.071527777777774   397   
  7      40.01083333333334    39.065555555555555   675   
  8      40.016375000000004   39.097055555555556   473   
  9      40.02554166666666    39.06077777777778    550   
  10     40.027               39.04888888888889    453   
  11     40.027208333333334   39.073388888888886   740   
  12     40.02854166666667    39.026361111111115   767   
  13     40.02912500000001    39.06791666666667    410   
  14     40.02916666666667    39.021583333333325   408   
  15     40.02954166666667    39.065916666666666   701   
  16     40.03004166666666    39.0445              446   
  17     40.031083333333335   39.034666666666666   790   
  18     40.03491666666667    39.05938888888889    456   
  19     40.035250000000005   39.06194444444444    548   
  20     40.040333333333336   39.047277777777786   379   
  21     40.040708333333335   39.05283333333333    385   
  22     40.040875            39.05386111111111    447   
  23     40.042625            39.06022222222222    733  
  24     40.04545833333333    39.074888888888886   372   
  25     40.046125            39.06480555555556    489   
  26     40.04629166666666    39.040416666666665   600   
  27     40.04749999999999    39.03994444444444    587   
  28     40.0485              39.08072222222222    511   
  29     40.04933333333333    39.063722222222225   465   
  30     40.050666666666665   39.05911111111111    490   
  31     40.05133333333333    39.062222222222225   350   
  32     40.05325             39.051833333333335   511   
  33     40.05370833333334    39.05208333333334    523   
  34     40.05620833333334    39.07505555555556    471   
  35     40.05633333333334    39.06627777777778    447   
  36     40.05745833333333    39.057916666666664   390   
  37     40.05883333333334    39.095888888888894   566   
  38     40.05937499999999    39.05452777777778    305   
  39     40.06070833333334    39.07666666666667    479   
  40     40.060875            39.055055555555555   357   
  41     40.061041666666675   39.06513888888889    371   
  42     40.061875            39.05097222222222    441   
  43     40.062083333333334   39.07111111111111    898  
  44     40.062374999999996   39.05458333333333    449   
  45     40.062958333333334   39.0625              516   
  46     40.062958333333334   39.075222222222216   560   
  47     40.06354166666667    39.05252777777777    372   
  48     40.063875            39.04861111111112    346   
  49     40.06679166666667    39.05016666666667    486   
  50     40.067375000000006   39.05216666666666    545   
  51     40.06795833333333    39.073               440   
  52     40.068041666666666   39.04855555555555    581   
  53     40.068125            39.04411111111111    775   
  54     40.068374999999996   39.035               381   
  55     40.06870833333333    39.08258333333333    474   
  56     40.06916666666666    39.055305555555556   460   
  57     40.070249999999994   39.03872222222222    570   
  58     40.07104166666666    39.017305555555545   591   
  59     40.071541666666675   39.05008333333333    467   
  60     40.07208333333334    39.06750000000001    389   
  61     40.07233333333333    39.069722222222225   540   
  62     40.07316666666667    39.063138888888886   635   
  63     40.07316666666667    39.06927777777778    338   
  64     40.07479166666667    39.06944444444444    495   
  65     40.07537500000001    39.08061111111111    466   
  66     40.07575             39.06538888888888    376   
  67     40.07579166666666    39.061749999999996   386   
  68     40.07629166666667    39.07052777777778    348   
  69     40.076458333333335   39.06630555555556    461   
  70     40.076750000000004   39.057916666666664   334   
  71     40.080083333333334   39.099805555555555   898   
  72     40.08045833333334    39.047694444444446   494   
  73     40.08079166666666    39.0645              366   
  74     40.08416666666666    39.05455555555556    427   
  75     40.08479166666667    39.08361111111111    485   
  76     40.08495833333333    39.06691666666666    561   
  77     40.085               39.05422222222222    444   
  78     40.087375            39.063861111111116   442   
  79     40.08795833333333    39.06319444444444    442   
  80     40.088               39.069916666666664   543   
  81     40.088416666666674   39.05230555555555    535   
  82     40.090875            39.019888888888886   787   
  83     40.09104166666667    39.085861111111114   619   
  84     40.091458333333335   39.09052777777778    603   
  85     40.092749999999995   39.042138888888886   606   
  86     40.09279166666667    39.03438888888889    661   
  87     40.09283333333333    39.047555555555554   537   
  88     40.092958333333335   39.07227777777778    592   
  89     40.092999999999996   39.07486111111112    586   
  90     40.094166666666666   39.07775             696   
  91     40.09433333333333    39.07052777777778    485   
  92     40.09608333333334    39.06922222222222    675   
  93     40.09795833333333    39.05744444444444    599   
  94     40.099333333333334   39.0755              499   
  95     40.100208333333335   39.0465              582   
  96     40.10091666666667    39.09097222222222    768   
  97     40.101708333333335   39.05422222222222    742   
  98     40.10204166666667    39.13638888888889    737   
  99     40.104375            39.07994444444445    738   
  100    40.104416666666665   39.07288888888889    588   
  101    40.10516666666667    39.06883333333333    512   
  102    40.10545833333333    39.05469444444444    612   
  103    40.10554166666667    39.072472222222224   571   
  104    40.10616666666666    39.07297222222222    729   
  105    40.106625            39.08144444444444    745   
  106    40.107416666666666   39.05041666666666    531   
  107    40.107499999999995   39.05888888888889    534   
  108    40.107625            39.05975000000001    573   
  109    40.108083333333326   39.05266666666667    591   
  110    40.10845833333334    39.04516666666667    688   
  111    40.10854166666667    39.07516666666667    672   
  112    40.109249999999996   39.038833333333336   566   
  113    40.10941666666667    39.04266666666667    662   
  114    40.10995833333334    39.07988888888889    681   
  115    40.111749999999994   39.054833333333335   691   
  116    40.11216666666667    39.06744444444445    928   
  117    40.112541666666665   39.06277777777777    740   
  118    40.11283333333333    39.070166666666665   767   
  119    40.113               39.064166666666665   854   
  120    40.113875            39.067083333333336   724   
  121    40.11395833333334    39.069               801   
  122    40.11450000000001    39.07652777777778    736   
  123    40.114625            39.0775              794   
  124    40.11466666666666    39.05302777777778    625   
  125    40.11499999999999    39.070972222222224   846   
  126    40.11712500000001    39.068333333333335   802   
  127    40.11741666666667    39.034194444444445   410   
  128    40.11937499999999    39.065222222222225   773   
  129    40.119875            39.06308333333334    684   
  130    40.12029166666666    39.066722222222225   846   
  131    40.121125000000006   39.05625             859   
  132    40.12166666666667    39.07658333333333    762   
  133    40.122125            39.06172222222222    726   
  134    40.122416666666666   39.07138888888889    725   
  135    40.12245833333334    39.07275             859   
  136    40.122625            39.0578888888889     745   
  137    40.122875            39.0515              765   
  138    40.12304166666667    39.07936111111111    683   
  139    40.12354166666666    39.06633333333333    649   
  140    40.12383333333334    39.03994444444444    741   
  141    40.12525             39.06666666666667    833   
  142    40.12604166666667    39.064277777777775   835   
  143    40.12683333333333    39.067722222222216   661   
  144    40.12741666666666    39.098527777777775   450   
  145    40.1275              39.06083333333333    855   
