#  Table 3115.tab  Fri 16:12:25 15-Jan-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00      2342.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
   21    0.52  199.37   0.01  198.69   0.01    -277.     9.93     0.0358
   22    0.37  199.38   0.01  198.68   0.01    -256.     8.14     0.0318
   23    0.42  199.40   0.01  198.67   0.01    -223.     7.86     0.0352
   24    0.48  199.41   0.01  198.65   0.01    -182.     7.76     0.0426
   25    0.38  199.41   0.01  198.66   0.01    -158.     6.07     0.0385
   26    0.36  199.41   0.01  198.66   0.01    -135.     5.21     0.0385
   27    0.46  199.41   0.02  198.66   0.02    -105.     5.33     0.0507
   28    0.48  199.42   0.02  198.66   0.02    -88.2     4.67     0.0529
   29    0.50  199.42   0.03  198.66   0.03    -69.8     4.24     0.0608
   30    0.53  199.42   0.04  198.66   0.03    -58.5     3.76     0.0643
   31    0.56  199.43   0.04  198.65   0.04    -47.7     3.36     0.0704
   32    0.59  199.43   0.05  198.65   0.05    -39.3     3.06      0.078
   33    0.65  199.43   0.07  198.65   0.07    -31.4     2.81     0.0895
   34    0.69  199.41   0.08  198.66   0.08    -26.5     2.52     0.0951
   35    0.73  199.43   0.10  198.64   0.10     -21.     2.28      0.108
   36    0.82  199.46   0.12  198.61   0.12    -16.7     2.11      0.126
   37    0.85  199.41   0.14  198.66   0.14    -14.6     1.86      0.128
   38    0.85  199.43   0.17  198.64   0.17    -11.7     1.58      0.136
   39    0.80  199.36   0.17  198.73   0.18    -10.5     1.25       0.12
   40    0.76  199.42   0.18  198.68   0.18    -8.26    0.937      0.113
   41    0.74  199.45   0.19  198.66   0.19    -6.07    0.984      0.162
   42    0.72  199.52   0.21  198.59   0.21    -4.62    0.717      0.155
   43    0.68  199.50   0.22  198.57   0.22    -3.79     0.56      0.148
   44    0.62  199.52   0.22  198.55   0.22    -2.96    0.401      0.135
   45    0.60  199.58   0.24  198.49   0.24    -2.27    0.289      0.128
   46    0.51  199.52   0.23  198.54   0.23    -1.82    0.209      0.115
   47    0.47  199.44   0.24  198.62   0.24    -1.37    0.161      0.118
   48    0.43  199.47   0.25  198.61   0.25    -1.15    0.113     0.0986
   49    0.38  199.51   0.24  198.64   0.25   -0.833   0.0741     0.0889
   50    0.36  199.39   0.26  198.81   0.26   -0.655   0.0559     0.0853
   51    0.38  199.49   0.31  198.91   0.31   -0.452   0.0434     0.0961
   52    0.33  199.33   0.31  199.09   0.31     -0.4   0.0333     0.0833
   53    0.28  199.23   0.28  199.84   0.29   -0.322   0.0238      0.074
   54    0.29  199.60   0.32  199.15   0.32   -0.246   0.0174     0.0705
