A      40  151.29137  -07.72444   21.181   0.005   20.222   0.005   21.207   0.007   20.601   0.008   20.388   0.009    2.17    480  N    1  Simbad
A      41  151.30399  -07.72770   21.296   0.007   20.250   0.010   21.085   0.107   20.413   0.122   20.274   0.116    1.30    456  Y    0  Simbad
A      42  151.30523  -07.73458   21.558   0.006   20.256   0.005   21.547   0.009   20.830   0.009   20.502   0.010    2.31    531  N    1  Simbad
A      43  151.31516  -07.71330   21.149   0.017   20.260   0.030   20.800   0.294   19.988   0.291   19.934   0.283    2.11  9999.  N    0  Simbad
A      44  151.30996  -07.70172   21.145   0.004   20.262   0.005   21.161   0.007   20.632   0.008   20.434   0.009    2.37    724  N    0  Simbad
A      45  151.30725  -07.73709   21.612   0.006   20.275   0.005   21.562   0.008   20.824   0.009   20.484   0.009    2.17  9999.  Y    0  Simbad
A      46  151.31406  -07.71562   21.858   0.029   20.293   0.028   20.628   0.206   19.748   0.196   19.854   0.239  999.99  9999.  Y    0  Simbad
A      47  151.33598  -07.69075   21.594   0.005   20.299   0.005   21.676   0.009   20.925   0.009   20.588   0.008    1.77    910  N    1  Simbad
A      48  151.29737  -07.73460   21.681   0.007   20.314   0.007   21.609   0.017   20.820   0.016   20.509   0.015    2.45    684  N    0  Simbad
A      49  151.31834  -07.70579   21.858   0.011   20.322   0.010   21.437   0.111   20.551   0.091   20.336   0.072    1.68    959  N    1  Simbad
A      50  151.30069  -07.75947   21.680   0.005   20.352   0.004   21.741   0.008   20.996   0.009   20.631   0.008    3.11    569  N    0  Simbad
A      51  151.28257  -07.79812   21.295   0.004   20.374   0.004   21.202   0.006   20.581   0.007   20.403   0.006    2.84    492  N    0  Simbad
A      52  151.32188  -07.73340   21.387   0.005   20.395   0.005   21.420   0.007   20.811   0.008   20.561   0.008    1.81  9999.  N    0  Simbad
A      53  151.35951  -07.73145   21.313   0.004   20.406   0.004   21.301   0.006   20.723   0.007   20.525   0.007    2.30    592  N    1  Simbad
A      54  151.32618  -07.71618   21.543   0.005   20.429   0.005   21.406   0.008   20.839   0.009   20.633   0.010    2.23    407  Y    1  Simbad
A      55  151.28081  -07.72809   21.772   0.006   20.439   0.005   21.743   0.009   20.945   0.009   20.601   0.008    1.87    597  N    1  Simbad
A      56  151.31108  -07.73175   21.873   0.007   20.472   0.006   21.892   0.010   21.106   0.011   20.762   0.011    1.90    702  N    0  Simbad
A      57  151.28358  -07.70455   21.923   0.006   20.488   0.004   22.024   0.010   21.233   0.010   20.875   0.009    1.08    798  Y    1  Simbad
A      58  151.33394  -07.70400   21.408   0.005   20.494   0.005   21.438   0.008   20.842   0.009   20.647   0.009    2.05    846  N    0  Simbad
A      59  151.31760  -07.70407   21.837   0.008   20.507   0.009   21.855   0.026   21.044   0.021   20.757   0.023    2.39  9999.  N    0  Simbad
A      60  151.30442  -07.72723   21.896   0.013   20.520   0.015   21.446   0.165   20.704   0.175   20.631   0.183    1.36  9999.  Y    0  Simbad
A      61  151.24250  -07.75812   21.937   0.006   20.564   0.004   21.883   0.010   21.142   0.011   20.826   0.010    3.18    711  N    1  Simbad
A      62  151.31036  -07.72183   22.071   0.041   20.575   0.042  999.999 999.999  999.999 999.999  999.999 999.999  999.99  9999.  Y    0  Simbad
A      63  151.29295  -07.75745   21.549   0.005   20.585   0.005   21.584   0.008   20.958   0.009   20.745   0.009    1.84    441  Y    1  Simbad
A      64  151.29448  -07.74017   21.889   0.007   20.604   0.006   21.880   0.011   21.100   0.012   20.775   0.011    2.27    364  N    0  Simbad
A      65  151.34455  -07.68674   21.808   0.007   20.606   0.006   21.719   0.008   20.969   0.009   20.725   0.009    4.18    814  N    0  Simbad
A      66  151.32309  -07.73116   21.632   0.006   20.625   0.005   21.640   0.008   21.016   0.009   20.771   0.010    2.17    782  N    1  Simbad
A      67  151.30501  -07.69702   21.803   0.006   20.625   0.005   21.860   0.009   21.131   0.011   20.866   0.010    1.69    895  N    1  Simbad
A      68  151.32670  -07.73641   21.623   0.005   20.633   0.005   21.676   0.008   21.077   0.010   20.865   0.010    2.17    702  N    1  Simbad
A      69  151.31042  -07.72338   21.638   0.013   20.635   0.019   22.142   0.599   22.272   1.330   21.411   0.582    1.96  9999.  N    0  Simbad
A      70  151.29846  -07.73156   22.195   0.013   20.662   0.011   21.938   0.087   21.187   0.094   20.917   0.078    1.41    510  N    1  Simbad
A      71  151.27717  -07.74974   22.144   0.007   20.662   0.006   21.962   0.009   21.122   0.010   20.817   0.009    2.49    403  N    0  Simbad
A      72  151.35380  -07.72102   21.841   0.005   20.682   0.005   21.945   0.009   21.218   0.010   20.913   0.009    1.27  9999.  N    0  Simbad
A      73  151.28218  -07.79997   22.031   0.006   20.692   0.005   22.068   0.009   21.301   0.010   20.970   0.009    1.76    753  N    1  Simbad
A      74  151.32764  -07.67487   22.069   0.007   20.702   0.005   22.038   0.010   21.274   0.011   20.950   0.010    1.67    573  N    1  Simbad
A      75  151.32500  -07.72054   21.545   0.005   20.715   0.006   21.560   0.008   21.052   0.010   20.839   0.010    2.17    599  N    0  Simbad
A      76  151.31950  -07.70111   22.258   0.009   20.723   0.008   22.313   0.024   21.464   0.021   21.100   0.016    1.79    876  N    0  Simbad
A      77  151.33814  -07.71467   21.678   0.005   20.724   0.005   21.645   0.008   21.049   0.009   20.846   0.009    2.30    980  N    1  Simbad
A      78  151.30553  -07.70735   22.003   0.008   20.737   0.008   22.059   0.013   21.344   0.014   21.035   0.014    1.25  9999.  N    0  Simbad
A      79  151.24296  -07.75534   21.666   0.005   20.739   0.005   21.741   0.008   21.178   0.009   20.966   0.009    1.57    654  N    0  Simbad
A      80  151.29952  -07.70830   22.067   0.008   20.741   0.007   22.167   0.012   21.342   0.013   20.997   0.012    2.11    689  N    1  Simbad
A      81  151.30065  -07.75885   22.097   0.007   20.770   0.005   22.166   0.011   21.402   0.012   21.049   0.011    1.86    770  N    1  Simbad
A      82  151.26983  -07.77811   22.163   0.006   20.770   0.005   22.269   0.010   21.448   0.011   21.080   0.009    1.41  9999.  N    0  Simbad
A      83  151.27250  -07.72914   21.610   0.005   20.793   0.005   21.596   0.008   21.076   0.009   20.896   0.010    2.34    723  N    0  Simbad
A      84  151.31571  -07.71719   21.922   0.014   20.798   0.020   22.088   0.395   21.594   0.506   21.189   0.351    1.46  9999.  N    0  Simbad
A      85  151.33278  -07.70597   22.361   0.008   20.821   0.007   22.316   0.013   21.462   0.013   21.099   0.012    2.17    879  N    1  Simbad
A      86  151.30651  -07.73635   21.787   0.006   20.840   0.008   21.875   0.011   21.267   0.013   21.023   0.013    1.96    596  N    1  Simbad
