# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  137.9149 60.0496 -45.34  -12.66  -18.8   1581.0 0.24 0.0  0.0  0.57  -5.96  0.0   0.0   0.0   1.0   45.0 
  137.9161 60.0496 -45.5   -14.72  -21.85  1534.0 0.42 0.0  0.0  0.62  -5.58  0.0   0.0   0.0   1.0   46.0 
  137.9075 60.0495 -44.33  0.71    1.06    1366.0 0.98 0.01 0.0  0.53  -4.84  0.0   0.0   0.0   1.0   47.0 
  137.8578 60.0547 -56.93  90.99   135.04  1407.0 0.68 0.01 0.0  0.28  -4.66  0.0   0.0   0.0   3.0   48.0 
  137.8765 60.0449 -24.02  55.14   81.83   1404.0 0.53 0.0  0.0  -0.44 -4.82  0.0   0.0   0.0   2.0   49.0 
  137.9059 60.0258 41.1    -2.05   -3.04   1347.0 0.98 0.01 0.0  0.69  -4.84  0.0   0.0   0.0   1.0   50.0 
  137.8303 60.0512 -41.39  139.58  207.16  1428.0 0.5  0.0  0.0  0.54  -4.69  0.0   0.0   0.0   3.0   51.0 
  137.8524 59.999  143.64  87.63   130.05  1477.0 1.0  0.0  0.0  0.69  -5.33  0.0   0.0   0.0   3.0   52.0 
  138.044  60.0277 17.94   -249.37 -370.11 1444.0 0.75 0.0  0.0  0.37  -5.16  0.0   0.0   0.0   3.0   53.0 
  138.0113 59.992  149.97  -199.04 -295.4  1469.0 1.0  0.01 0.0  0.73  -5.26  0.0   0.0   0.0   3.0   54.0 
  137.999  60.0179 58.54   -170.87 -253.59 1356.0 0.77 0.01 0.0  0.51  -4.65  0.0   0.0   0.0   3.0   55.0 
  137.9913 60.0318 9.48    -153.95 -228.49 1330.0 0.28 0.0  0.01 0.38  -4.35  0.0   0.0   0.0   3.0   56.0 
  137.9852 60.0469 -44.01  -139.39 -206.88 1419.0 0.52 0.01 0.0  0.74  -4.63  0.0   0.0   0.0   3.0   57.0 
  137.9723 60.0361 -3.91   -118.8  -176.32 1191.0 0.81 0.0  0.0  0.81  -6.6   0.0   0.0   0.0   3.0   58.0 
  137.9613 60.0355 -0.26   -99.26  -147.31 1456.0 0.43 0.0  0.0  0.64  -5.39  0.0   0.0   0.0   3.0   59.0 
  137.9556 60.0275 29.15   -90.85  -134.84 1231.0 0.49 0.0  0.0  0.47  -5.24  0.0   0.0   0.0   3.0   60.0 
  137.9522 60.0348 3.3     -83.08  -123.31 1432.0 0.35 0.0  0.0  0.68  -5.01  0.0   0.0   0.0   2.0   61.0 
  137.9438 60.0312 17.09   -68.7   -101.97 1611.0 0.51 0.0  0.0  0.62  -7.38  0.0   0.0   0.0   2.0   62.0 
  137.937  60.0387 -9.02   -54.83  -81.38  1457.0 0.38 0.0  0.0  0.61  -5.1   0.0   0.0   0.0   2.0   63.0 
  137.8211 60.0541 -50.75  156.73  232.62  1067.0 1.0  0.0  0.0  0.65  -8.22  0.0   0.0   0.0   3.0   64.0 
