# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  137.9149 60.0496 -11.98  45.52   67.56   1581.0 0.61 0.0  0.0  0.57  -6.9   0.0   0.0   0.0   1.0   45.0 
  137.9161 60.0496 -14.04  45.71   67.85   1534.0 0.67 0.0  0.0  0.62  -6.06  0.0   0.0   0.0   1.0   46.0 
  137.9075 60.0495 1.38    44.32   65.78   1366.0 0.81 0.01 0.0  0.53  -4.65  0.0   0.0   0.0   1.0   47.0 
  137.8578 60.0547 91.83   55.56   82.45   1407.0 0.93 0.01 0.0  0.28  -4.99  0.0   0.0   0.0   2.0   48.0 
  137.8765 60.0449 55.49   23.19   34.41   1404.0 0.9  0.0  0.0  -0.44 -5.24  0.0   0.0   0.0   1.0   49.0 
  137.9059 60.0258 -2.66   -41.06  -60.95  1347.0 0.81 0.01 0.0  0.69  -4.65  0.0   0.0   0.0   1.0   50.0 
  137.8303 60.0512 140.19  39.29   58.31   1428.0 0.97 0.0  0.0  0.54  -5.37  0.0   0.0   0.0   2.0   51.0 
  137.8524 59.999  85.46   -144.94 -215.11 1477.0 1.0  0.0  0.0  0.69  -5.33  0.0   0.0   0.0   3.0   52.0 
  138.044  60.0277 -249.61 -14.2   -21.07  1444.0 0.99 0.0  0.0  0.37  -5.45  0.0   0.0   0.0   3.0   53.0 
  138.0113 59.992  -201.27 -146.97 -218.12 1469.0 1.0  0.01 0.0  0.73  -5.25  0.0   0.0   0.0   3.0   54.0 
  137.999  60.0179 -171.73 -55.96  -83.06  1356.0 1.0  0.01 0.0  0.51  -4.91  0.0   0.0   0.0   3.0   55.0 
  137.9913 60.0318 -154.08 -7.17   -10.64  1330.0 0.94 0.0  0.0  0.38  -5.59  0.0   0.0   0.0   2.0   56.0 
  137.9852 60.0469 -138.72 46.1    68.42   1419.0 0.71 0.0  0.0  0.74  -4.96  0.0   0.0   0.0   2.0   57.0 
  137.9723 60.0361 -118.73 5.7     8.46    1191.0 1.0  0.0  0.0  0.81  -6.8   0.0   0.0   0.0   2.0   58.0 
  137.9613 60.0355 -99.24  1.75    2.59    1456.0 0.37 0.0  0.0  0.64  -5.23  0.0   0.0   0.0   1.0   59.0 
  137.9556 60.0275 -91.28  -27.79  -41.24  1231.0 0.99 0.0  0.0  0.47  -5.96  0.0   0.0   0.0   1.0   60.0 
  137.9522 60.0348 -83.12  -2.05   -3.04   1432.0 0.53 0.0  0.0  0.68  -5.36  0.0   0.0   0.0   1.0   61.0 
  137.9438 60.0312 -68.95  -16.05  -23.83  1611.0 0.04 0.0  0.0  0.62  -5.36  0.0   0.0   0.0   1.0   62.0 
  137.937  60.0387 -54.69  9.84    14.61   1457.0 0.38 0.0  0.0  0.61  -5.08  0.0   0.0   0.0   1.0   63.0 
  137.8211 60.0541 157.48  48.39   71.82   1067.0 0.19 0.0  0.0  0.65  -6.48  0.0   0.0   0.0   2.0   64.0 
  137.8096 60.0386 173.56  -9.09   -13.49  1153.0 0.11 0.0  0.01 0.94  -4.9   0.0   0.0   0.0   2.0   65.0 
  137.7969 60.0337 194.92  -28.57  -42.4   1328.0 1.0  0.0  0.0  0.6   -5.31  0.0   0.0   0.0   3.0   66.0 
  137.7576 60.0107 258.8   -116.55 -172.98 1370.0 1.0  0.01 0.0  0.36  -4.75  0.0   0.0   0.0   3.0   67.0 
  137.7528 60.0296 272.77  -49.54  -73.52  1493.0 1.0  0.0  0.0  0.69  -5.67  0.0   0.0   0.0   3.0   68.0 
  137.7849 60.0487 220.75  23.74   35.24   1185.0 0.38 0.0  0.0  0.4   -5.32  0.0   0.0   0.0   3.0   69.0 
  137.8832 60.0274 38.47   -38.57  -57.25  1521.0 0.91 0.0  0.0  0.64  -6.23  0.0   0.0   0.0   1.0   70.0 
  137.8686 60.0476 70.44   31.9    47.34   1095.0 0.09 0.0  0.0  0.47  -5.98  0.0   0.0   0.0   1.0   71.0 
  137.9113 60.0493 -5.48   43.99   65.29   1414.0 0.79 0.01 0.0  0.78  -4.81  0.0   0.0   0.0   1.0   72.0 
  137.8859 60.0532 41.0    54.37   80.69   1020.0 0.5  0.0  0.0  0.5   -8.43  0.0   0.0   0.0   2.0   73.0 
  137.8887 60.0217 27.05   -58.13  -86.27  1184.0 0.8  0.0  0.0  0.36  -5.75  0.0   0.0   0.0   2.0   74.0 
  137.8764 60.0197 48.39   -67.02  -99.47  1505.0 0.95 0.0  0.0  0.59  -5.68  0.0   0.0   0.0   2.0   75.0 
  137.8702 60.0328 63.4    -20.96  -31.11  1211.0 0.25 0.0  0.01 0.7   -4.97  0.0   0.0   0.0   1.0   76.0 
  137.9516 60.0561 -75.71  74.44   110.49  1035.0 0.99 0.0  0.0  0.35  -8.65  0.0   0.0   0.0   2.0   77.0 
  137.9458 60.0589 -64.54  83.48   123.89  1214.0 1.0  0.0  0.0  0.7   -5.54  0.0   0.0   0.0   3.0   78.0 
  137.9266 60.1673 1.1     469.64  697.02  1334.0 0.36 0.0  0.01 0.55  -4.4   0.0   0.0   0.0   3.0   79.0 
  137.9223 59.9998 -39.56  -132.0  -195.91 1353.0 1.0  0.01 0.0  0.78  -4.73  0.0   0.0   0.0   3.0   80.0 
  137.8682 59.9916 55.02   -169.15 -251.04 1387.0 1.0  0.01 0.0  0.57  -4.77  0.0   0.0   0.0   3.0   81.0 
  137.8556 59.9717 71.74   -242.59 -360.04 1281.0 1.0  0.01 0.0  0.48  -4.93  0.0   0.0   0.0   3.0   82.0 
  137.8531 59.9938 82.61   -163.53 -242.7  1393.0 1.0  0.01 0.0  0.3   -4.79  0.0   0.0   0.0   3.0   83.0 
  137.8459 59.9964 96.24   -155.35 -230.57 1072.0 1.0  0.0  0.0  0.63  -7.82  0.0   0.0   0.0   3.0   84.0 
  137.8979 60.0413 16.19   13.34   19.8    1254.0 0.58 0.0  0.0  0.61  -4.95  0.0   0.0   0.0   1.0   85.0 
  137.8934 60.0411 24.14   12.08   17.93   1391.0 0.87 0.01 0.0  1.12  -5.04  0.0   0.0   0.0   1.0   86.0 
  137.9072 60.0446 0.53    26.65   39.56   1151.0 0.63 0.0  0.0  0.43  -6.49  0.0   0.0   0.0   1.0   87.0 
  137.9238 60.0306 -33.47  -21.36  -31.7   1654.0 0.07 0.0  0.0  0.67  -6.94  0.0   0.0   0.0   1.0   88.0 
  137.9023 60.0304 5.08    -25.05  -37.18  1127.0 0.54 0.0  0.0  0.57  -6.83  0.0   0.0   0.0   1.0   89.0 
  137.9138 60.0328 -14.88  -14.74  -21.88  1420.0 0.66 0.01 0.0  0.96  -4.8   0.0   0.0   0.0   1.0   90.0 
  137.8872 60.0385 34.57   1.79    2.65    1334.0 0.92 0.0  0.0  0.94  -5.27  0.0   0.0   0.0   1.0   91.0 
  137.9108 60.031  -10.03  -21.77  -32.3   1280.0 0.78 0.01 0.0  0.51  -4.97  0.0   0.0   0.0   1.0   92.0 
  137.8867 60.0304 33.11   -27.42  -40.7   1200.0 0.42 0.0  0.0  1.17  -5.32  0.0   0.0   0.0   1.0   93.0 
  137.8942 60.0321 20.01   -20.27  -30.09  1253.0 0.58 0.0  0.0  0.51  -4.96  0.0   0.0   0.0   1.0   94.0 
  137.8967 60.038  17.4    1.46    2.16    1253.0 0.7  0.0  0.0  0.87  -5.16  0.0   0.0   0.0   1.0   95.0 
  137.9119 60.0354 -10.64  -5.69   -8.45   1373.0 0.85 0.01 0.0  0.62  -4.76  0.0   0.0   0.0   1.0   96.0 
  137.9212 60.0328 -28.13  -13.64  -20.25  1741.0 0.02 0.0  0.0  0.87  -8.34  0.0   0.0   0.0   1.0   97.0 
  137.893  60.0318 22.23   -21.32  -31.65  1250.0 0.56 0.0  0.0  0.92  -4.97  0.0   0.0   0.0   1.0   98.0 
  137.8794 60.042  49.56   13.2    19.59   1214.0 0.26 0.0  0.01 1.12  -4.97  0.0   0.0   0.0   1.0   99.0 
  137.9031 60.0273 2.71    -36.12  -53.61  1510.0 0.75 0.0  0.0  1.05  -5.81  0.0   0.0   0.0   1.0   100.0
  137.9144 60.0298 -16.82  -25.6   -38.0   1313.0 0.78 0.01 0.0  0.61  -4.8   0.0   0.0   0.0   1.0   101.0
  137.9044 60.0313 1.56    -21.53  -31.95  1588.0 0.63 0.0  0.0  0.79  -7.19  0.0   0.0   0.0   1.0   102.0
  137.9193 60.0359 -23.84  -2.77   -4.12   1254.0 1.0  0.0  0.0  0.72  -5.66  0.0   0.0   0.0   1.0   103.0
  137.8966 60.038  17.49   1.4     2.08    1446.0 1.0  0.0  0.0  0.87  -5.44  0.0   0.0   0.0   1.0   104.0
  137.9011 60.0426 10.79   18.46   27.4    1507.0 0.81 0.0  0.0  0.89  -5.93  0.0   0.0   0.0   1.0   105.0
  137.8388 60.0006 110.23  -141.13 -209.46 1442.0 1.0  0.01 0.0  0.33  -5.04  0.0   0.0   0.0   3.0   106.0
