  0.253892055  0.254216615 1
  0.269994532  0.270344096 2
  0.175355372  0.175552674 3
  0.139121118  0.139257791 4
  0.0903017958  0.0903336287 5
  0.171432316  0.171561627 6
  0.145404163  0.145489419 7
  0.0896343889  0.0896597303 8
  0.143990663  0.144054412 9
  0.125665814  0.125706203 10
  0.187462974  0.187673308 11
  0.170345025  0.170362377 12
  0.101920987  0.101914263 13
  0.089820583  0.0897893163 14
  0.179034301  0.178874105 15
  0.18817895  0.1879282 16
  0.0767055548  0.0767493747 17
  0.0822292482  0.0821834036 18
  0.190262196  0.190013071 19
  0.140129839  0.140184748 20
  0.068294461  0.0682961234 21
  0.190574434  0.190311042 22
  0.232990229  0.232317152 23
  0.132317641  0.132396794 24
  0.0753382102  0.0753123573 25
  0.100271853  0.100375768 26
  0.312685758  0.309581832 27
  0.0733038847  0.0733052728 28
  0.133478654  0.133273643 29
  0.366720289  0.365834948 30
  0.0787944743  0.0788062087 31
  0.23894197  0.23847622 32
  0.328434404  0.326338286 33
  0.317368951  0.31632791 34
  0.293239318  0.292284049 35
  0.218263499  0.218536127 36
  0.207547526  0.20587426 37
  0.158942028  0.158696521 38
  0.228782572  0.228253672 39
  0.0872970768  0.0872414686 40
  0.140508937  0.140377067 41
  0.149387198  0.14955978 42
  0.187368303  0.187125344 43
  0.195205696  0.195516584 44
  0.189627097  0.189368225 45
  0.190064599  0.189844749 46
  0.157287584  0.157301278 47
  0.116197022  0.116154326 48
  0.0862499488  0.0863059042 49
  0.0825614494  0.0825421848 50
  0.172793757  0.172763368 51
  0.0697624816  0.0697513966 52
  0.147524049  0.147559057 53
  0.162815291  0.162807818 54
  0.0719409149  0.0719342951 55
  0.161478802  0.161552637 56
  0.146357101  0.146427268 57
  0.179635575  0.179755121 58
  0.128093651  0.128181103 59
  0.0867105634  0.0867437412 60
  0.0810764971  0.081098219 61
  0.185883489  0.186059041 62
  0.117026496  0.117112644 63
  0.221072794  0.221343136 64
  0.313122429  0.313515754 65
  0.237646217  0.237937824 66
  0.341518882  0.341964482 67
  0.0773657213  0.0773324265 68
  0.16192786  0.161638212 69
  0.0774681682  0.0774538523 70
  0.0724930394  0.0724697091 71
  0.120653951  0.120662619 72
  0.138310683  0.138305575 73
  0.140618168  0.14065076 74
  0.195528214  0.195713632 75
  0.165491641  0.165377086 76
  0.173431913  0.173182151 77
  0.346060241  0.346562292 78
  0.330076668  0.328916672 79
  0.111676903  0.111699154 80
  0.112768342  0.112664165 81
  0.108805748  0.108693437 82
  0.309806481  0.3092272 83
  0.249642853  0.24870944 84
  0.0946905247  0.0946093955 85
  0.311427814  0.311107547 86
  0.0897099976  0.0896841666 87
  0.102778681  0.102868533 88
  0.226222591  0.225728462 89
  0.161295653  0.160959468 90
  0.117500952  0.117419928 91
  0.162165882  0.161840827 92
  0.140032251  0.140026631 93
  0.279829572  0.279809292 94
  0.282279266  0.281256946 95
  0.106561391  0.106460838 96
  0.115880426  0.115776644 97
  0.112372987  0.112357275 98
  0.103081966  0.103069129 99
  0.0809664996  0.0809599913 100
  0.07542203  0.0754110716 101
  0.220542028  0.220041978 102
  0.173811683  0.173738655 103
  0.150794819  0.150871537 104
  0.0919402461  0.0919817843 105
  0.169303201  0.1693301 106
  0.395687947  0.395882826 107
  0.161522145  0.161331695 108
  0.179765971  0.179307227 109
  0.322168524  0.320603843 110
  0.0752826219  0.075278493 111
  0.137606056  0.137569481 112
  0.608278586  0.596939421 113
