#ID 	 RA 	 DEC 	 RV 	 RV_err 	 RAD 
NGC4486_S113 	187.696750	12.351860	1739	21	2.42
NGC4486_S114 	187.718670	12.353130	2313	20	2.40
NGC4486_S115 	187.693550	12.353740	 591	21	2.36
NGC4486_S116 	187.734720	12.354830	1367	19	2.75
NGC4486_S117 	187.608590	12.355200	1342	 9	6.10
NGC4486_S118 	187.738670	12.356310	1145	27	2.84
NGC4486_S119 	187.710750	12.356290	1402	29	2.11
NGC4486_S120 	187.715770	12.357350	 661	19	2.11
NGC4486_S121 	187.709580	12.357740	1432	18	2.01
NGC4486_S122 	187.682800	12.359640	 989	21	2.33
NGC4486_S123 	187.769590	12.360220	 559	29	4.17
NGC4486_S124 	187.691520	12.361050	1649	21	1.99
NGC4486_S125 	187.706040	12.361020	1230	19	1.81
NGC4486_S126 	187.821650	12.361570	1200	10	7.01
NGC4486_S127 	187.767600	12.361970	1367	32	4.02
NGC4486_S128 	187.691260	12.362340	1464	29	1.93
NGC4486_S129 	187.717010	12.363190	1562	29	1.80
NGC4486_S130 	187.713420	12.363920	1512	29	1.69
NGC4486_S131 	187.687400	12.364520	1186	29	1.93
NGC4486_S132 	187.694890	12.364570	1329	32	1.72
NGC4486_S133 	187.753420	12.365230	1370	30	3.19
NGC4486_S134 	187.612610	12.365100	1371	11	5.69
NGC4486_S135 	187.740970	12.365710	1231	18	2.56
NGC4486_S136 	187.733190	12.367590	 528	20	2.13
NGC4486_S137 	187.679160	12.367710	1538	19	2.11
NGC4486_S138 	187.550760	12.368720	 904	30	9.19
NGC4486_S139 	187.685990	12.369420	1573	30	1.75
NGC4486_S140 	187.676740	12.369570	1758	20	2.14
NGC4486_S141 	187.734830	12.369910	1131	18	2.12
NGC4486_S142 	187.726180	12.371000	1267	20	1.69
NGC4486_S143 	187.764390	12.371760	1489	29	3.62
NGC4486_S144 	187.725310	12.372740	1450	21	1.58
NGC4486_S145 	187.823910	12.372540	 840	20	7.00
NGC4486_S146 	187.727680	12.373410	1644	18	1.66
NGC4486_S147 	187.755310	12.373960	1413	31	3.07
NGC4486_S148 	187.680540	12.374620	1006	20	1.79
NGC4486_S149 	187.674690	12.376720	1631	24	2.02
NGC4486_S150 	187.741060	12.377830	2010	28	2.21
NGC4486_S151 	187.729070	12.377950	1520	29	1.57
NGC4486_S152 	187.736790	12.379010	1847	18	1.95
NGC4486_S153 	187.671260	12.380350	1252	30	2.13
NGC4486_S154 	187.739970	12.380670	1500	21	2.09
NGC4486_S155 	187.738890	12.381100	1597	26	2.02
NGC4486_S156 	187.730660	12.382420	1341	18	1.54
NGC4486_S157 	187.547750	12.382100	 919	15	9.29
NGC4486_S158 	187.675670	12.383160	1810	19	1.84
NGC4486_S159 	187.745240	12.383580	1430	29	2.35
NGC4486_S160 	187.749370	12.385850	1461	28	2.57
NGC4486_S161 	187.676470	12.386010	1414	29	1.75
NGC4486_S162 	187.739500	12.386550	1375	18	1.99
NGC4486_S163 	187.671100	12.386620	1479	19	2.06
NGC4486_S164 	187.517490	12.387540	1387	19	11.05
NGC4486_S165 	187.772980	12.390450	1011	28	3.93
NGC4486_S166 	187.666310	12.391140	1779	30	2.32
NGC4486_S167 	187.377750	12.390920	1511	27	19.23
NGC4486_S168 	187.732410	12.391360	1611	29	1.55
NGC4486_S169 	187.662650	12.391710	 964	29	2.54
NGC4486_S170 	187.736550	12.391710	1907	29	1.79
NGC4486_S171 	187.673310	12.392370	1578	18	1.91
NGC4486_S172 	187.758610	12.394330	1057	28	3.09
NGC4486_S173 	187.664530	12.394480	1105	29	2.43
NGC4486_S174 	187.731910	12.394160	2106	18	1.53
NGC4486_S175 	187.647590	12.394320	1438	28	3.42
NGC4486_S176 	187.760710	12.394360	1954	30	3.22
NGC4486_S177 	187.841430	12.394440	1616	10	7.94
NGC4486_S178 	187.679650	12.395590	1511	20	1.56
NGC4486_S179 	187.743440	12.395780	1089	31	2.22
NGC4486_S180 	187.676080	12.396070	 858	18	1.77
NGC4486_S181 	187.671480	12.397950	 673	26	2.06
NGC4486_S182 	187.679180	12.398810	1470	18	1.63
NGC4486_S183 	187.733230	12.399450	1137	20	1.68
NGC4486_S184 	187.673130	12.400060	1167	30	2.00
NGC4486_S185 	187.678170	12.400680	1160	29	1.72
NGC4486_S186 	187.737950	12.400450	1422	42	1.96
NGC4486_S187 	187.771530	12.400650	1180	29	3.89
NGC4486_S188 	187.680310	12.404090	 904	20	1.69
NGC4486_S189 	187.661000	12.404250	1291	29	2.75
NGC4486_S190 	187.680890	12.404710	1316	19	1.68
NGC4486_S191 	187.751540	12.404840	1672	30	2.80
NGC4486_S192 	187.675930	12.405910	1494	20	1.97
NGC4486_S193 	187.728630	12.406160	1068	20	1.61
NGC4486_S194 	187.734730	12.407020	1308	29	1.94
