1	187.8039	+11.4863	23.9259	23.6197	23.2456	23.2454
2	188.0390	+11.4865	23.9862	23.4758	23.1845	23.2581
3	188.0177	+11.4882	22.3047	21.5648	21.2044	20.9088
4	187.6281	+11.4881	23.7953	23.1130	22.9700	22.7533
5	187.7569	+11.4880	23.4359	22.6495	22.4700	21.8147
6	188.3855	+11.4890	22.9884	22.2052	21.7744	21.5224
7	188.1248	+11.4884	21.7477	21.3036	21.1028	20.9441
8	187.8688	+11.4890	23.2689	22.9008	22.7051	22.7132
9	188.0068	+11.4892	23.2653	22.9276	22.5964	22.5330
10	188.3588	+11.4887	20.0826	19.6547	19.4735	19.3134
11	187.9103	+11.4905	22.5730	21.7653	21.3460	21.0026
12	188.1960	+11.4899	20.4171	20.0552	19.8997	19.7722
13	187.7228	+11.4927	23.6664	23.1830	22.8194	22.4899
14	188.0573	+11.4927	22.9057	22.5170	22.3085	22.2137
15	188.1580	+11.4930	20.9757	20.1737	19.8117	19.5467
16	188.4124	+11.4933	23.4067	22.8846	22.6582	22.4416
17	187.9243	+11.4941	22.9876	22.5762	22.0979	21.8613
18	187.7073	+11.4935	22.9114	22.3583	22.3142	21.8318
19	188.3448	+11.4924	21.2682	20.3739	20.0205	19.7507
20	188.4594	+11.4954	23.8434	23.4377	23.3310	23.0113
21	188.2633	+11.4950	21.5561	21.0666	20.8382	20.6039
22	187.8758	+11.4946	19.7690	19.3139	18.9464	18.8212
23	187.6205	+11.4951	19.4008	19.0455	18.7705	18.5865
24	187.6787	+11.4968	22.9405	22.5588	22.2146	21.9364
25	187.8992	+11.4983	23.5925	23.2926	22.9278	22.7996
26	187.9040	+11.4985	23.7193	23.4704	23.1713	22.9596
27	188.3613	+11.5001	23.3036	23.0071	22.6791	22.4950
28	187.9755	+11.5010	22.9654	22.5773	22.1585	21.8542
29	187.9066	+11.5004	23.6471	23.2187	22.9222	22.5965
30	187.8627	+11.5008	21.2591	20.8723	20.4906	20.3755
31	188.4949	+11.5020	21.9989	21.6934	21.4253	21.3251
32	188.3620	+11.5033	23.7089	23.3375	22.9239	22.7177
33	188.1592	+11.5020	20.3301	20.0001	19.7027	19.6062
34	188.3573	+11.5033	23.9831	23.6435	23.3562	23.0593
35	187.6208	+11.5020	20.1615	19.7339	19.4054	19.2116
36	187.9699	+11.5051	21.9744	21.6008	21.3138	21.1219
37	188.3489	+11.5055	23.6513	23.0582	22.9767	22.5965
