1 	345.252333	+30.148470 	769   22.632  21.491 
2	345.243083	+30.157730 	908   22.881  21.574 
3	345.265916	+30.135980 	810   22.845  21.659 
4	345.274958	+30.121900 	776   22.948  21.776 
5	345.245250	+30.148860 	873   23.383  22.296 
6	345.258625	+30.124600 	725   23.259  22.224 
7	345.205458	+30.123060 	865   23.593  22.347 
8	345.229583	+30.172540 	868   23.839  22.792 
9	345.208499	+30.148530 	918   24.425  23.092 
1	345.262833	+30.139020 	768   24.675  23.141 
1	345.246458	+30.155880 	943   22.489  21.339 
1	345.255541	+30.155640 	910   22.738  21.599 
1	345.255291	+30.131310 	749   22.858  21.721 
1	345.225916	+30.156350 	969   23.053  21.793 
1	345.223833	+30.131310 	823   23.165  22.045 
1	345.233875	+30.156630 	946   23.320  22.131 
1	345.251375	+30.159800 	927   22.175  20.873 
1	345.220833	+30.145580 	871   23.565  22.031 
1	345.247375	+30.142450 	837   22.140  20.785 
2	345.253250	+30.146470 	814   22.304  20.883 
2	345.245541	+30.145610 	923   24.137  22.917 
