  9   345.27234 30.028418  0 24.208 0.627 0.304
  16  345.25034 30.031889  0 20.239 0.945 0.601
  31  345.20633 30.037443  0 23.475 0.56  0.342
  36  345.2289  30.038944  0 20.089 0.817 0.541
  61  345.16605 30.045694  0 22.924 0.966 0.644
  64  345.2888  30.048306  0 21.967 0.901 0.605
  75  345.19864 30.04936   0 23.58  0.652 0.511
  78  345.18942 30.0495    0 24.726 0.573 0.356
  80  345.2048  30.050528  0 23.864 0.896 0.466
  103 345.2517  30.059944  0 22.294 0.605 0.377
  106 345.22467 30.06011   0 22.869 0.603 0.387
  107 345.20776 30.06025   0 22.735 0.639 0.355
  121 345.32416 30.064638  0 24.626 0.722 0.488
  126 345.1696  30.064028  0 24.618 0.484 0.441
  128 345.32022 30.067057  0 21.192 0.663 0.405
  135 345.23846 30.068583  0 22.803 0.937 0.52 
  139 345.2888  30.0705    0 23.552 0.649 0.431
  143 345.19693 30.070194  0 23.884 0.624 0.419
  149 345.1656  30.071306  0 20.38  0.839 0.527
  160 345.22757 30.074223  0 24.083 0.759 0.468
  163 345.255   30.074833  0 20.061 0.664 0.402
  176 345.18735 30.078028  0 23.17  0.813 0.504
  180 345.32745 30.080833  0 22.998 0.89  0.533
  185 345.2138  30.082222  0 20.44  0.566 0.373
  192 345.22812 30.084778  0 21.974 0.711 0.393
  202 345.24542 30.087528  0 23.238 0.599 0.491
  217 345.159   30.089167  0 20.209 0.629 0.4  
  229 345.15692 30.092     0 23.669 0.86  0.662
  231 345.2303  30.09411   0 23.545 0.659 0.477
  233 345.18192 30.093555  0 24.559 0.595 0.262
  238 345.3126  30.098057  0 23.308 0.522 0.395
  239 345.2549  30.09739   0 24.032 0.557 0.29 
  240 345.2484  30.097944  0 22.811 0.723 0.445
  245 345.2354  30.098583  0 24.485 0.674 0.556
  248 345.2113  30.09925   0 22.084 0.829 0.514
  252 345.2457  30.10086   0 23.679 0.517 0.507
  256 345.28326 30.102833  0 19.971 0.974 0.61 
  263 345.24817 30.107695  0 24.046 0.557 0.422
  266 345.29858 30.109667  0 20.379 1.0   0.629
  271 345.2169  30.11039   0 23.471 0.795 0.424
  278 345.25937 30.114279  0 23.795 0.677 0.485
  279 345.24237 30.114529  0 23.589 0.819 0.398
  282 345.30704 30.115833  0 23.32  0.76  0.436
  283 345.16733 30.1145    0 22.309 0.731 0.439
  293 345.2782  30.120028  0 22.603 0.694 0.415
  299 345.23276 30.120443  0 23.183 0.659 0.531
  304 345.27496 30.121918  0 22.208 0.74  0.432
  305 345.242   30.121529  0 24.189 0.605 0.291
  306 345.1748  30.121279  0 19.7   0.743 0.442
  309 345.1931  30.12225   0 24.299 0.574 0.287
  311 345.20544 30.123056  0 22.834 0.759 0.487
  313 345.2654  30.123972  0 23.372 0.812 0.531
  317 345.25864 30.12461   0 22.681 0.578 0.457
  322 345.21658 30.126     0 22.781 0.672 0.445
  326 345.288   30.12764   0 21.346 0.589 0.358
  328 345.224   30.127611  0 22.362 0.643 0.418
  329 345.24728 30.128279  0 22.695 0.77  0.456
  332 345.25137 30.129139  0 22.75  0.723 0.455
  338 345.25528 30.131306  0 22.145 0.713 0.424
  339 345.27213 30.13161   0 23.472 0.764 0.47 
  341 345.25137 30.1315    0 23.391 0.64  0.408
  342 345.22385 30.131332  0 22.506 0.659 0.461
  343 345.21454 30.131416  0 23.685 0.61  0.464
  344 345.26642 30.132221  0 23.26  0.8   0.456
  345 345.24997 30.132     0 23.608 0.663 0.506
  351 345.1591  30.132639  0 22.907 0.788 0.514
  353 345.2833  30.134666  0 21.874 0.559 0.376
  354 345.30142 30.1355    0 22.108 0.737 0.449
  356 345.26593 30.136     0 23.19  0.633 0.5  
  357 345.25067 30.136057  0 23.796 0.753 0.48 
  359 345.28696 30.137306  0 21.544 0.703 0.458
  362 345.2615  30.138721  0 23.705 0.97  0.564
  365 345.26285 30.139029  0 22.189 0.708 0.447
  368 345.2637  30.139334  0 21.634 0.852 0.486
  371 345.25522 30.13975   0 22.532 0.859 0.544
  372 345.239   30.139723  0 23.365 0.739 0.529
  376 345.2583  30.140278  0 25.007 0.813 0.657
  377 345.2596  30.140223  0 23.94  0.71  0.379
  380 345.1576  30.141111  0 22.939 0.818 0.525
  383 345.26035 30.143944  0 22.451 0.906 0.453
