118	151.335988	-07.690753 	910	21.676	20.588
119	151.220319	-07.743761 	503	22.211	21.191
120	151.279329	-07.701391 	662	23.092	21.937
121	151.312606	-07.808115 	708	22.361	21.558
122	151.270589	-07.736211 	519	23.441	22.400
123	151.347705	-07.680742 	970	23.151	22.104
124	151.309051	-07.732858 	729	22.550	21.676
125	151.310090	-07.667824 	794	22.750	21.636
126	151.353724	-07.735060 	650	22.608	21.389
127	151.290122	-07.729256 	673	22.630	21.533
128	151.329609	-07.773203 	762	21.300	20.455
129	151.324535	-07.626198 	618	22.528	21.797
130	151.235926	-07.661403 	641	21.837	20.817
131	151.299970	-07.752374 	609	22.525	21.292
132	151.303547	-07.712862	1035	21.224	20.128
133	151.272990	-07.681364 	689	22.394	21.337
134	151.348508	-07.682946 	939	22.765	21.710
135	151.326000	-07.735496	1123	20.021	18.968
136	151.275679	-07.726128 	575	22.920	21.770
137	151.325404	-07.666935	1033	21.986	21.324
138	151.282169	-07.799972 	753	22.068	20.970
139	151.239022	-07.723396 	579	22.133	21.315
140	151.373520	-07.650659 	732	22.082	21.415
141	151.355650	-07.692199 	895	22.570	21.738
142	151.388183	-07.675435 	718	22.053	21.016
143	151.294810	-07.726279 	610	22.585	21.543
144	151.336170	-07.692060 	886	22.016	21.222
145	151.289215	-07.772296 	518	21.317	20.507
146	151.286072	-07.702492 	433	23.037	21.892
147	151.314773	-07.675478 	957	22.625	21.846
148	151.277270	-07.672374 	770	22.199	21.527
149	151.329340	-07.739321 	925	20.591	19.821
150	151.292767	-07.798222 	710	22.706	21.586
